Train Loss=1.8001, Train Acc=0.2912 | Val Loss=1.8106, Val Acc=0.2250
Train Loss=1.7912, Train Acc=0.2804 | Val Loss=1.7577, Val Acc=0.3833
Train Loss=1.5086, Train Acc=0.4588 | Val Loss=1.6867, Val Acc=0.3250
Train Loss=1.3201, Train Acc=0.5294 | Val Loss=1.3765, Val Acc=0.4833
Train Loss=1.0938, Train Acc=0.6471 | Val Loss=1.1535, Val Acc=0.5833
Train Loss=0.9020, Train Acc=0.7176 | Val Loss=1.3829, Val Acc=0.5333
Train Loss=0.8141, Train Acc=0.7676 | Val Loss=0.9762, Val Acc=0.6250
Train Loss=0.7437, Train Acc=0.7912 | Val Loss=1.0591, Val Acc=0.6083
Train Loss=0.6450, Train Acc=0.8265 | Val Loss=1.0505, Val Acc=0.6750
Train Loss=0.5636, Train Acc=0.8598 | Val Loss=0.9167, Val Acc=0.6500
Train Loss=0.5512, Train Acc=0.8520 | Val Loss=0.8847, Val Acc=0.6833
Train Loss=0.4770, Train Acc=0.8961 | Val Loss=0.8624, Val Acc=0.6833
Train Loss=0.3787, Train Acc=0.9245 | Val Loss=0.8027, Val Acc=0.6917
Train Loss=0.3262, Train Acc=0.9422 | Val Loss=1.0536, Val Acc=0.6917
Train Loss=0.3149, Train Acc=0.9412 | Val Loss=0.7337, Val Acc=0.7500
Train Loss=0.3158, Train Acc=0.9461 | Val Loss=0.8439, Val Acc=0.7583
Train Loss=0.2987, Train Acc=0.9422 | Val Loss=0.7615, Val Acc=0.7417
Train Loss=0.2785, Train Acc=0.9549 | Val Loss=1.0658, Val Acc=0.6417
Train Loss=0.2397, Train Acc=0.9725 | Val Loss=0.7900, Val Acc=0.7500
Train Loss=0.1958, Train Acc=0.9843 | Val Loss=0.8470, Val Acc=0.7500
Train Loss=0.2086, Train Acc=0.9725 | Val Loss=0.9704, Val Acc=0.6917
Train Loss=0.1707, Train Acc=0.9863 | Val Loss=0.8619, Val Acc=0.7250
Train Loss=0.2025, Train Acc=0.9755 | Val Loss=0.8365, Val Acc=0.7667
Train Loss=0.3026, Train Acc=0.9186 | Val Loss=0.8350, Val Acc=0.7333
Train Loss=0.2457, Train Acc=0.9588 | Val Loss=0.7588, Val Acc=0.7500
Train Loss=0.1704, Train Acc=0.9892 | Val Loss=0.7644, Val Acc=0.7583
Train Loss=0.1417, Train Acc=0.9902 | Val Loss=0.7765, Val Acc=0.7500
Train Loss=0.1288, Train Acc=0.9951 | Val Loss=0.7191, Val Acc=0.7750
Train Loss=0.1157, Train Acc=0.9990 | Val Loss=0.7936, Val Acc=0.7833
Train Loss=0.1084, Train Acc=0.9990 | Val Loss=0.7503, Val Acc=0.8083
Train Loss=0.1028, Train Acc=0.9980 | Val Loss=0.6920, Val Acc=0.8167
Train Loss=0.1063, Train Acc=1.0000 | Val Loss=0.6817, Val Acc=0.8250
