Train Loss=1.7764, Train Acc=0.2927 | Val Loss=1.8030, Val Acc=0.2800
Train Loss=1.4437, Train Acc=0.4834 | Val Loss=1.4570, Val Acc=0.3800
Train Loss=1.2767, Train Acc=0.5322 | Val Loss=1.2966, Val Acc=0.4600
Train Loss=1.1580, Train Acc=0.6098 | Val Loss=1.2182, Val Acc=0.4600
Train Loss=1.0638, Train Acc=0.6031 | Val Loss=1.1726, Val Acc=0.4400
Train Loss=0.9295, Train Acc=0.6674 | Val Loss=1.1025, Val Acc=0.4800
Train Loss=0.8516, Train Acc=0.7450 | Val Loss=1.1284, Val Acc=0.4800
Train Loss=0.8101, Train Acc=0.7317 | Val Loss=1.1392, Val Acc=0.5400
Train Loss=0.8338, Train Acc=0.7073 | Val Loss=1.0468, Val Acc=0.5400
Train Loss=0.7227, Train Acc=0.7672 | Val Loss=0.9294, Val Acc=0.5400
Train Loss=0.6591, Train Acc=0.7960 | Val Loss=0.9171, Val Acc=0.5800
Train Loss=0.6775, Train Acc=0.7450 | Val Loss=0.9071, Val Acc=0.5800
Train Loss=0.5722, Train Acc=0.8581 | Val Loss=0.9362, Val Acc=0.5400
Train Loss=0.5527, Train Acc=0.8359 | Val Loss=0.8868, Val Acc=0.6800
Train Loss=0.5552, Train Acc=0.8404 | Val Loss=1.0339, Val Acc=0.5800
Train Loss=0.5596, Train Acc=0.8337 | Val Loss=0.9191, Val Acc=0.6000
Train Loss=0.5233, Train Acc=0.8448 | Val Loss=0.8264, Val Acc=0.6800
Train Loss=0.5181, Train Acc=0.8492 | Val Loss=0.9058, Val Acc=0.5800
Train Loss=0.4182, Train Acc=0.9047 | Val Loss=0.7927, Val Acc=0.7000
Train Loss=0.3737, Train Acc=0.9113 | Val Loss=0.7899, Val Acc=0.6600
Train Loss=0.3996, Train Acc=0.8914 | Val Loss=0.8611, Val Acc=0.7200
Train Loss=0.3327, Train Acc=0.9024 | Val Loss=0.8809, Val Acc=0.7000
Train Loss=0.3431, Train Acc=0.8936 | Val Loss=0.8065, Val Acc=0.7000
Train Loss=0.2910, Train Acc=0.9113 | Val Loss=0.8192, Val Acc=0.6800
Train Loss=0.2952, Train Acc=0.9290 | Val Loss=0.8142, Val Acc=0.6400
Train Loss=0.2590, Train Acc=0.9424 | Val Loss=0.7289, Val Acc=0.6800
Train Loss=0.1897, Train Acc=0.9601 | Val Loss=0.6913, Val Acc=0.7400
Train Loss=0.1671, Train Acc=0.9712 | Val Loss=0.7618, Val Acc=0.6800
Train Loss=0.1277, Train Acc=0.9933 | Val Loss=0.8802, Val Acc=0.7400
Train Loss=0.1289, Train Acc=0.9889 | Val Loss=1.1342, Val Acc=0.6800
Train Loss=0.3979, Train Acc=0.8603 | Val Loss=0.9959, Val Acc=0.6800
Train Loss=0.3132, Train Acc=0.9135 | Val Loss=0.8743, Val Acc=0.6800
Train Loss=0.2314, Train Acc=0.9490 | Val Loss=0.8079, Val Acc=0.7000
Train Loss=0.1624, Train Acc=0.9800 | Val Loss=0.8050, Val Acc=0.6600
Train Loss=0.1858, Train Acc=0.9557 | Val Loss=0.8384, Val Acc=0.6600
Train Loss=0.2367, Train Acc=0.9424 | Val Loss=1.0690, Val Acc=0.6200
Train Loss=0.2682, Train Acc=0.9202 | Val Loss=0.8892, Val Acc=0.6600
Train Loss=0.1839, Train Acc=0.9534 | Val Loss=0.8358, Val Acc=0.6800
Train Loss=0.1493, Train Acc=0.9778 | Val Loss=0.8551, Val Acc=0.6800
Train Loss=0.1594, Train Acc=0.9734 | Val Loss=0.9185, Val Acc=0.7000
Train Loss=0.1768, Train Acc=0.9534 | Val Loss=0.8844, Val Acc=0.6600
Train Loss=0.1313, Train Acc=0.9933 | Val Loss=0.9736, Val Acc=0.7200
Train Loss=0.1097, Train Acc=0.9845 | Val Loss=0.9496, Val Acc=0.7000
Train Loss=0.0859, Train Acc=0.9978 | Val Loss=0.9060, Val Acc=0.7000
Train Loss=0.0599, Train Acc=0.9978 | Val Loss=0.8354, Val Acc=0.7200
Train Loss=0.0532, Train Acc=0.9978 | Val Loss=0.8786, Val Acc=0.7000
Train Loss=0.1084, Train Acc=0.9756 | Val Loss=1.0718, Val Acc=0.6200
Train Loss=0.1125, Train Acc=0.9734 | Val Loss=0.8007, Val Acc=0.7000
Train Loss=0.1257, Train Acc=0.9734 | Val Loss=0.9154, Val Acc=0.7000
Train Loss=0.4368, Train Acc=0.8337 | Val Loss=0.9885, Val Acc=0.6200
Train Loss=0.2668, Train Acc=0.9290 | Val Loss=0.9388, Val Acc=0.6000
Train Loss=0.2870, Train Acc=0.9268 | Val Loss=0.7455, Val Acc=0.6800
Train Loss=0.2053, Train Acc=0.9490 | Val Loss=0.7371, Val Acc=0.7200
Train Loss=0.1479, Train Acc=0.9756 | Val Loss=0.8680, Val Acc=0.7000
Train Loss=0.2656, Train Acc=0.9135 | Val Loss=0.7964, Val Acc=0.7200
Train Loss=0.2594, Train Acc=0.9290 | Val Loss=0.9523, Val Acc=0.7000
Train Loss=0.1801, Train Acc=0.9623 | Val Loss=0.7184, Val Acc=0.7400
