Train Loss=1.4573, Train Acc=0.4030 | Val Loss=1.4103, Val Acc=0.4420
Train Loss=1.2981, Train Acc=0.4776 | Val Loss=1.3537, Val Acc=0.4567
Train Loss=1.2296, Train Acc=0.5198 | Val Loss=1.3466, Val Acc=0.4845
Train Loss=1.1748, Train Acc=0.5382 | Val Loss=1.3453, Val Acc=0.5001
Train Loss=1.1423, Train Acc=0.5583 | Val Loss=1.2070, Val Acc=0.5419
Train Loss=1.0862, Train Acc=0.5809 | Val Loss=1.1832, Val Acc=0.5587
Train Loss=1.0435, Train Acc=0.6051 | Val Loss=1.1296, Val Acc=0.5815
Train Loss=0.9904, Train Acc=0.6230 | Val Loss=1.1245, Val Acc=0.5787
Train Loss=0.9534, Train Acc=0.6438 | Val Loss=1.1005, Val Acc=0.6084
Train Loss=0.9014, Train Acc=0.6612 | Val Loss=1.1457, Val Acc=0.5977
Train Loss=0.8716, Train Acc=0.6752 | Val Loss=1.0566, Val Acc=0.6342
Train Loss=0.8096, Train Acc=0.7009 | Val Loss=0.9822, Val Acc=0.6480
Train Loss=0.7660, Train Acc=0.7174 | Val Loss=0.9593, Val Acc=0.6755
Train Loss=0.6922, Train Acc=0.7519 | Val Loss=1.0018, Val Acc=0.6328
Train Loss=0.6468, Train Acc=0.7690 | Val Loss=0.9108, Val Acc=0.6815
Train Loss=0.5643, Train Acc=0.8003 | Val Loss=0.7505, Val Acc=0.7515
Train Loss=0.4927, Train Acc=0.8277 | Val Loss=0.9508, Val Acc=0.6907
Train Loss=0.4575, Train Acc=0.8397 | Val Loss=0.7206, Val Acc=0.7845
Train Loss=0.4008, Train Acc=0.8640 | Val Loss=0.6572, Val Acc=0.8089
Train Loss=0.3159, Train Acc=0.8969 | Val Loss=0.6329, Val Acc=0.8236
Train Loss=0.2665, Train Acc=0.9162 | Val Loss=0.5386, Val Acc=0.8614

Train Loss=0.2088, Train Acc=0.9363 | Val Loss=0.6025, Val Acc=0.8595
Train Loss=0.2087, Train Acc=0.9340 | Val Loss=0.5981, Val Acc=0.8678
Train Loss=0.1281, Train Acc=0.9672 | Val Loss=0.6216, Val Acc=0.8680
Train Loss=0.1242, Train Acc=0.9657 | Val Loss=0.6151, Val Acc=0.8780
Train Loss=0.1064, Train Acc=0.9716 | Val Loss=1.0804, Val Acc=0.7501
Train Loss=0.1007, Train Acc=0.9730 | Val Loss=0.5160, Val Acc=0.8911
Train Loss=0.0664, Train Acc=0.9852 | Val Loss=0.5944, Val Acc=0.8823
Train Loss=0.0915, Train Acc=0.9742 | Val Loss=0.6320, Val Acc=0.8832
Train Loss=0.0805, Train Acc=0.9768 | Val Loss=0.5981, Val Acc=0.8794
Train Loss=0.1260, Train Acc=0.9586 | Val Loss=0.8327, Val Acc=0.8222
