Train Loss=2.1933, Train Acc=0.3416 | Val Loss=2.1670, Val Acc=0.3622
Train Loss=2.0691, Train Acc=0.4092 | Val Loss=2.2480, Val Acc=0.3295
Train Loss=1.9373, Train Acc=0.4418 | Val Loss=2.1454, Val Acc=0.3553
Train Loss=1.8452, Train Acc=0.4553 | Val Loss=2.0298, Val Acc=0.4534
Train Loss=1.7441, Train Acc=0.4762 | Val Loss=1.9976, Val Acc=0.4365
Train Loss=1.7217, Train Acc=0.4938 | Val Loss=2.0466, Val Acc=0.3978
Train Loss=1.7053, Train Acc=0.5040 | Val Loss=1.9626, Val Acc=0.4396
Train Loss=1.6587, Train Acc=0.5112 | Val Loss=2.1310, Val Acc=0.4341
Train Loss=1.6123, Train Acc=0.5340 | Val Loss=1.9344, Val Acc=0.4351
Train Loss=1.5261, Train Acc=0.5480 | Val Loss=1.9582, Val Acc=0.4864
Train Loss=1.5061, Train Acc=0.5558 | Val Loss=1.9737, Val Acc=0.4667
Train Loss=1.4483, Train Acc=0.5653 | Val Loss=1.8623, Val Acc=0.5146
Train Loss=1.4352, Train Acc=0.5821 | Val Loss=1.8464, Val Acc=0.5134
Train Loss=1.3917, Train Acc=0.5990 | Val Loss=1.9456, Val Acc=0.4880
Train Loss=1.3326, Train Acc=0.6189 | Val Loss=1.7831, Val Acc=0.5272
Train Loss=1.3267, Train Acc=0.6248 | Val Loss=1.8275, Val Acc=0.5462
Train Loss=1.2907, Train Acc=0.6320 | Val Loss=1.8317, Val Acc=0.5583
Train Loss=1.2539, Train Acc=0.6416 | Val Loss=1.8729, Val Acc=0.5224
Train Loss=1.2395, Train Acc=0.6615 | Val Loss=1.7760, Val Acc=0.5528
Train Loss=1.1925, Train Acc=0.6727 | Val Loss=1.7987, Val Acc=0.4994
Train Loss=1.1561, Train Acc=0.6725 | Val Loss=1.6368, Val Acc=0.6017
Train Loss=1.1600, Train Acc=0.6885 | Val Loss=1.6613, Val Acc=0.5970
Train Loss=1.0788, Train Acc=0.7063 | Val Loss=1.5306, Val Acc=0.6466
Train Loss=1.0437, Train Acc=0.7228 | Val Loss=1.5390, Val Acc=0.6568
Train Loss=0.9905, Train Acc=0.7455 | Val Loss=1.5189, Val Acc=0.6610
Train Loss=0.9368, Train Acc=0.7513 | Val Loss=1.5385, Val Acc=0.6463
Train Loss=0.9313, Train Acc=0.7708 | Val Loss=1.4989, Val Acc=0.6826
Train Loss=0.8955, Train Acc=0.7788 | Val Loss=1.3767, Val Acc=0.7123
Train Loss=0.8370, Train Acc=0.7999 | Val Loss=1.4719, Val Acc=0.6689
Train Loss=0.8300, Train Acc=0.8052 | Val Loss=1.4987, Val Acc=0.6952
Train Loss=0.7581, Train Acc=0.8287 | Val Loss=1.7044, Val Acc=0.6197
Train Loss=0.7384, Train Acc=0.8422 | Val Loss=1.3600, Val Acc=0.7384
Train Loss=0.6573, Train Acc=0.8529 | Val Loss=1.4664, Val Acc=0.7059
Train Loss=0.6300, Train Acc=0.8625 | Val Loss=1.3009, Val Acc=0.7382
Train Loss=0.5870, Train Acc=0.8869 | Val Loss=1.2502, Val Acc=0.7524
Train Loss=0.5954, Train Acc=0.8947 | Val Loss=1.2636, Val Acc=0.7508
Train Loss=0.5756, Train Acc=0.9006 | Val Loss=1.5849, Val Acc=0.7104
Train Loss=0.4875, Train Acc=0.9199 | Val Loss=1.2860, Val Acc=0.7736
Train Loss=0.5383, Train Acc=0.9187 | Val Loss=1.1673, Val Acc=0.8118
Train Loss=0.4585, Train Acc=0.9441 | Val Loss=1.2524, Val Acc=0.8246
Train Loss=0.4544, Train Acc=0.9425 | Val Loss=1.3118, Val Acc=0.7925
Train Loss=0.4428, Train Acc=0.9540 | Val Loss=1.2537, Val Acc=0.8006
Train Loss=0.4393, Train Acc=0.9540 | Val Loss=1.2352, Val Acc=0.8103
Train Loss=0.3814, Train Acc=0.9668 | Val Loss=1.1869, Val Acc=0.8372
Train Loss=0.3547, Train Acc=0.9716 | Val Loss=1.1395, Val Acc=0.8260
Train Loss=0.3531, Train Acc=0.9741 | Val Loss=1.1559, Val Acc=0.8353
Train Loss=0.3260, Train Acc=0.9819 | Val Loss=0.9717, Val Acc=0.8566
Train Loss=0.3301, Train Acc=0.9777 | Val Loss=1.2087, Val Acc=0.7861
Train Loss=0.3599, Train Acc=0.9708 | Val Loss=1.2211, Val Acc=0.8291
Train Loss=0.3056, Train Acc=0.9862 | Val Loss=1.1594, Val Acc=0.8514
Train Loss=0.3192, Train Acc=0.9788 | Val Loss=1.2191, Val Acc=0.8094
Train Loss=0.3017, Train Acc=0.9850 | Val Loss=1.2380, Val Acc=0.8077
Train Loss=0.2902, Train Acc=0.9832 | Val Loss=1.1863, Val Acc=0.7968
Train Loss=0.2946, Train Acc=0.9878 | Val Loss=1.1357, Val Acc=0.8486
Train Loss=0.2708, Train Acc=0.9902 | Val Loss=1.2705, Val Acc=0.8267
Train Loss=0.2761, Train Acc=0.9903 | Val Loss=1.1529, Val Acc=0.8564
Train Loss=0.2997, Train Acc=0.9895 | Val Loss=1.2178, Val Acc=0.8056
Train Loss=0.2882, Train Acc=0.9874 | Val Loss=1.7229, Val Acc=0.6948
Train Loss=0.2509, Train Acc=0.9915 | Val Loss=1.0051, Val Acc=0.8642
Train Loss=0.2785, Train Acc=0.9792 | Val Loss=1.2025, Val Acc=0.8393
Train Loss=0.2568, Train Acc=0.9922 | Val Loss=1.1263, Val Acc=0.8270
Train Loss=0.2063, Train Acc=0.9972 | Val Loss=1.0204, Val Acc=0.8614
Train Loss=0.2220, Train Acc=0.9956 | Val Loss=1.3011, Val Acc=0.7928
Train Loss=0.2524, Train Acc=0.9878 | Val Loss=1.1442, Val Acc=0.8436
Train Loss=0.2389, Train Acc=0.9933 | Val Loss=1.2122, Val Acc=0.8564
