Train Loss=1.7932, Train Acc=0.3464 | Val Loss=1.8033, Val Acc=0.3971
Train Loss=1.6178, Train Acc=0.4334 | Val Loss=1.7310, Val Acc=0.4348
Train Loss=1.5387, Train Acc=0.4726 | Val Loss=1.6858, Val Acc=0.4422
Train Loss=1.4827, Train Acc=0.5034 | Val Loss=1.6523, Val Acc=0.4769
Train Loss=1.4341, Train Acc=0.5236 | Val Loss=1.5835, Val Acc=0.5008
Train Loss=1.3880, Train Acc=0.5505 | Val Loss=1.5318, Val Acc=0.5390
Train Loss=1.3473, Train Acc=0.5695 | Val Loss=1.5586, Val Acc=0.5258
Train Loss=1.3015, Train Acc=0.5915 | Val Loss=1.4825, Val Acc=0.5519
Train Loss=1.2717, Train Acc=0.6037 | Val Loss=1.4849, Val Acc=0.5516
Train Loss=1.2340, Train Acc=0.6184 | Val Loss=1.4100, Val Acc=0.5936
Train Loss=1.1902, Train Acc=0.6392 | Val Loss=1.3719, Val Acc=0.6129
Train Loss=1.1587, Train Acc=0.6541 | Val Loss=1.3538, Val Acc=0.6176
Train Loss=1.1038, Train Acc=0.6817 | Val Loss=1.3725, Val Acc=0.6119
Train Loss=1.0815, Train Acc=0.6884 | Val Loss=1.2961, Val Acc=0.6485
Train Loss=1.0363, Train Acc=0.7128 | Val Loss=1.2847, Val Acc=0.6485
Train Loss=0.9907, Train Acc=0.7341 | Val Loss=1.2128, Val Acc=0.6751
Train Loss=0.9552, Train Acc=0.7479 | Val Loss=1.1666, Val Acc=0.7128
Train Loss=0.9075, Train Acc=0.7662 | Val Loss=1.1239, Val Acc=0.7190
Train Loss=0.8722, Train Acc=0.7800 | Val Loss=1.0936, Val Acc=0.7399
Train Loss=0.8427, Train Acc=0.7906 | Val Loss=1.1353, Val Acc=0.7370
Train Loss=0.8039, Train Acc=0.8099 | Val Loss=1.0765, Val Acc=0.7510
Train Loss=0.7491, Train Acc=0.8332 | Val Loss=1.0735, Val Acc=0.7636
Train Loss=0.7217, Train Acc=0.8431 | Val Loss=1.0119, Val Acc=0.7833
Train Loss=0.6803, Train Acc=0.8581 | Val Loss=1.0130, Val Acc=0.7802
Train Loss=0.6507, Train Acc=0.8709 | Val Loss=0.9752, Val Acc=0.7897
Train Loss=0.6150, Train Acc=0.8881 | Val Loss=0.9650, Val Acc=0.8141
Train Loss=0.5755, Train Acc=0.9020 | Val Loss=0.9394, Val Acc=0.8146
Train Loss=0.5433, Train Acc=0.9119 | Val Loss=0.9154, Val Acc=0.8379
Train Loss=0.5040, Train Acc=0.9284 | Val Loss=0.9117, Val Acc=0.8386
Train Loss=0.4692, Train Acc=0.9434 | Val Loss=0.8998, Val Acc=0.8448
Train Loss=0.4769, Train Acc=0.9339 | Val Loss=0.8604, Val Acc=0.8500
Train Loss=0.4499, Train Acc=0.9471 | Val Loss=0.8797, Val Acc=0.8519
Train Loss=0.4270, Train Acc=0.9559 | Val Loss=0.8714, Val Acc=0.8602
Train Loss=0.3942, Train Acc=0.9651 | Val Loss=0.8453, Val Acc=0.8645
Train Loss=0.3664, Train Acc=0.9747 | Val Loss=0.8033, Val Acc=0.8775
Train Loss=0.3672, Train Acc=0.9700 | Val Loss=0.7915, Val Acc=0.8787

Train Loss=0.3850, Train Acc=0.9616 | Val Loss=0.8115, Val Acc=0.8766
Train Loss=0.3252, Train Acc=0.9855 | Val Loss=0.8399, Val Acc=0.8749
Train Loss=0.3088, Train Acc=0.9906 | Val Loss=0.8306, Val Acc=0.8794
Train Loss=0.3211, Train Acc=0.9840 | Val Loss=1.0324, Val Acc=0.8286
Train Loss=0.3693, Train Acc=0.9610 | Val Loss=0.9015, Val Acc=0.8628
Train Loss=0.3103, Train Acc=0.9864 | Val Loss=0.8223, Val Acc=0.8816
Train Loss=0.2775, Train Acc=0.9950 | Val Loss=0.8165, Val Acc=0.8844
Train Loss=0.2695, Train Acc=0.9960 | Val Loss=0.7961, Val Acc=0.8856
Train Loss=0.2636, Train Acc=0.9974 | Val Loss=0.8206, Val Acc=0.8839
Train Loss=0.2558, Train Acc=0.9977 | Val Loss=0.8028, Val Acc=0.8892
Train Loss=0.2542, Train Acc=0.9974 | Val Loss=0.8007, Val Acc=0.8865
Train Loss=0.2515, Train Acc=0.9972 | Val Loss=0.8229, Val Acc=0.8792
Train Loss=0.3682, Train Acc=0.9555 | Val Loss=0.8799, Val Acc=0.8740
Train Loss=0.2670, Train Acc=0.9948 | Val Loss=0.8117, Val Acc=0.8863




