Train Loss=1.5296, Train Acc=0.3797 | Val Loss=1.4498, Val Acc=0.4249
Train Loss=1.3740, Train Acc=0.4489 | Val Loss=1.3780, Val Acc=0.4503
Train Loss=1.3031, Train Acc=0.4879 | Val Loss=1.3371, Val Acc=0.4757
Train Loss=1.2435, Train Acc=0.5144 | Val Loss=1.2895, Val Acc=0.5063
Train Loss=1.1984, Train Acc=0.5339 | Val Loss=1.2476, Val Acc=0.5236
Train Loss=1.1497, Train Acc=0.5610 | Val Loss=1.2081, Val Acc=0.5374
Train Loss=1.1069, Train Acc=0.5771 | Val Loss=1.1861, Val Acc=0.5495
Train Loss=1.0793, Train Acc=0.5937 | Val Loss=1.1155, Val Acc=0.5832
Train Loss=1.0322, Train Acc=0.6149 | Val Loss=1.1426, Val Acc=0.5623
Train Loss=0.9930, Train Acc=0.6281 | Val Loss=1.0519, Val Acc=0.6088
Train Loss=0.9641, Train Acc=0.6488 | Val Loss=1.0348, Val Acc=0.6081
Train Loss=0.9180, Train Acc=0.6672 | Val Loss=1.0024, Val Acc=0.6278
Train Loss=0.8835, Train Acc=0.6764 | Val Loss=0.9954, Val Acc=0.6309
Train Loss=0.8502, Train Acc=0.6907 | Val Loss=0.9749, Val Acc=0.6259
Train Loss=0.8236, Train Acc=0.7032 | Val Loss=0.9198, Val Acc=0.6622
Train Loss=0.7799, Train Acc=0.7244 | Val Loss=0.8917, Val Acc=0.6667
Train Loss=0.7484, Train Acc=0.7268 | Val Loss=0.8688, Val Acc=0.6739
Train Loss=0.7302, Train Acc=0.7381 | Val Loss=0.8725, Val Acc=0.6689
Train Loss=0.6797, Train Acc=0.7635 | Val Loss=0.8265, Val Acc=0.6874
Train Loss=0.6619, Train Acc=0.7709 | Val Loss=0.7759, Val Acc=0.7213
Train Loss=0.6268, Train Acc=0.7827 | Val Loss=0.8096, Val Acc=0.6921
Train Loss=0.5868, Train Acc=0.7967 | Val Loss=0.8304, Val Acc=0.6805
Train Loss=0.5646, Train Acc=0.8073 | Val Loss=0.7190, Val Acc=0.7444
Train Loss=0.5241, Train Acc=0.8236 | Val Loss=0.7276, Val Acc=0.7361
Train Loss=0.4931, Train Acc=0.8346 | Val Loss=0.6451, Val Acc=0.7759
Train Loss=0.4473, Train Acc=0.8562 | Val Loss=0.6675, Val Acc=0.7605
Train Loss=0.4328, Train Acc=0.8627 | Val Loss=0.6622, Val Acc=0.7610
Train Loss=0.3962, Train Acc=0.8787 | Val Loss=0.6282, Val Acc=0.7859
Train Loss=0.3993, Train Acc=0.8727 | Val Loss=0.5720, Val Acc=0.8047
Train Loss=0.3541, Train Acc=0.8938 | Val Loss=0.5766, Val Acc=0.8058
Train Loss=0.3130, Train Acc=0.9093 | Val Loss=0.5405, Val Acc=0.8144
Train Loss=0.2898, Train Acc=0.9162 | Val Loss=0.5347, Val Acc=0.8165
Train Loss=0.2641, Train Acc=0.9285 | Val Loss=0.5766, Val Acc=0.8101
Train Loss=0.2575, Train Acc=0.9307 | Val Loss=0.5120, Val Acc=0.8327
Train Loss=0.2422, Train Acc=0.9327 | Val Loss=0.4912, Val Acc=0.8429
Train Loss=0.2156, Train Acc=0.9441 | Val Loss=0.4739, Val Acc=0.8543
Train Loss=0.1929, Train Acc=0.9538 | Val Loss=0.4763, Val Acc=0.8538
Train Loss=0.1740, Train Acc=0.9558 | Val Loss=0.4685, Val Acc=0.8414
Train Loss=0.1856, Train Acc=0.9499 | Val Loss=0.4466, Val Acc=0.8533
Train Loss=0.1505, Train Acc=0.9665 | Val Loss=0.4478, Val Acc=0.8588
Train Loss=0.1547, Train Acc=0.9632 | Val Loss=0.4609, Val Acc=0.8562
Train Loss=0.1303, Train Acc=0.9730 | Val Loss=0.4337, Val Acc=0.8602
Train Loss=0.1316, Train Acc=0.9690 | Val Loss=0.5103, Val Acc=0.8160
Train Loss=0.1214, Train Acc=0.9730 | Val Loss=0.4246, Val Acc=0.8685
Train Loss=0.0936, Train Acc=0.9821 | Val Loss=0.3807, Val Acc=0.8778
Train Loss=0.1159, Train Acc=0.9719 | Val Loss=0.4105, Val Acc=0.8668
Train Loss=0.0987, Train Acc=0.9777 | Val Loss=0.4186, Val Acc=0.8616
Train Loss=0.0856, Train Acc=0.9841 | Val Loss=0.4105, Val Acc=0.8721
Train Loss=0.0719, Train Acc=0.9882 | Val Loss=0.3685, Val Acc=0.8768
Train Loss=0.0584, Train Acc=0.9918 | Val Loss=0.4123, Val Acc=0.8690
Train Loss=0.0548, Train Acc=0.9914 | Val Loss=0.3824, Val Acc=0.8763
Train Loss=0.0579, Train Acc=0.9906 | Val Loss=0.3938, Val Acc=0.8714
Train Loss=0.0931, Train Acc=0.9755 | Val Loss=0.4753, Val Acc=0.8573
Train Loss=0.0813, Train Acc=0.9794 | Val Loss=0.4046, Val Acc=0.8709
Train Loss=0.0535, Train Acc=0.9911 | Val Loss=0.3867, Val Acc=0.8721
Train Loss=0.0365, Train Acc=0.9962 | Val Loss=0.4390, Val Acc=0.8649
Train Loss=0.1354, Train Acc=0.9582 | Val Loss=0.4264, Val Acc=0.8690
Train Loss=0.0642, Train Acc=0.9860 | Val Loss=0.3958, Val Acc=0.8754
Train Loss=0.0373, Train Acc=0.9953 | Val Loss=0.4333, Val Acc=0.8666
Train Loss=0.0606, Train Acc=0.9866 | Val Loss=0.3780, Val Acc=0.8756
Train Loss=0.0273, Train Acc=0.9972 | Val Loss=0.3759, Val Acc=0.8785
Train Loss=0.0280, Train Acc=0.9966 | Val Loss=0.4135, Val Acc=0.8716
Train Loss=0.0409, Train Acc=0.9918 | Val Loss=0.3942, Val Acc=0.8792
Train Loss=0.0208, Train Acc=0.9983 | Val Loss=0.3813, Val Acc=0.8792
Train Loss=0.0181, Train Acc=0.9981 | Val Loss=0.3953, Val Acc=0.8780
Train Loss=0.0938, Train Acc=0.9686 | Val Loss=0.5917, Val Acc=0.8187
Train Loss=0.0804, Train Acc=0.9797 | Val Loss=0.3854, Val Acc=0.8820

Train Loss=0.0308, Train Acc=0.9945 | Val Loss=0.4110, Val Acc=0.8730
Train Loss=0.0174, Train Acc=0.9988 | Val Loss=0.4221, Val Acc=0.8766
Train Loss=0.0136, Train Acc=0.9989 | Val Loss=0.3924, Val Acc=0.8799
Train Loss=0.0125, Train Acc=0.9993 | Val Loss=0.3832, Val Acc=0.8816
Train Loss=0.0120, Train Acc=0.9989 | Val Loss=0.3795, Val Acc=0.8806
Train Loss=0.0633, Train Acc=0.9827 | Val Loss=0.3939, Val Acc=0.8837
Train Loss=0.0782, Train Acc=0.9764 | Val Loss=0.6527, Val Acc=0.7966
Train Loss=0.1587, Train Acc=0.9464 | Val Loss=0.4634, Val Acc=0.8585
Train Loss=0.0284, Train Acc=0.9960 | Val Loss=0.4214, Val Acc=0.8759
Train Loss=0.0140, Train Acc=0.9983 | Val Loss=0.4206, Val Acc=0.8751
Train Loss=0.0119, Train Acc=0.9988 | Val Loss=0.4186, Val Acc=0.8773
Train Loss=0.0109, Train Acc=0.9988 | Val Loss=0.3895, Val Acc=0.8799
Train Loss=0.0095, Train Acc=0.9992 | Val Loss=0.4218, Val Acc=0.8778
Train Loss=0.0359, Train Acc=0.9919 | Val Loss=0.4466, Val Acc=0.8709
Train Loss=0.0154, Train Acc=0.9980 | Val Loss=0.3764, Val Acc=0.8820
Train Loss=0.0343, Train Acc=0.9914 | Val Loss=0.4314, Val Acc=0.8740
