Train Loss=3.5229, Train Acc=0.3332 | Val Loss=5.5647, Val Acc=0.2920
Train Loss=3.3238, Train Acc=0.3807 | Val Loss=5.1751, Val Acc=0.3408
Train Loss=3.2415, Train Acc=0.3959 | Val Loss=5.1514, Val Acc=0.3518
Train Loss=3.1305, Train Acc=0.4217 | Val Loss=5.5519, Val Acc=0.3463
Train Loss=2.9675, Train Acc=0.4274 | Val Loss=5.0311, Val Acc=0.3902
Train Loss=2.9709, Train Acc=0.4489 | Val Loss=5.1034, Val Acc=0.4113
Train Loss=2.8375, Train Acc=0.4617 | Val Loss=4.8185, Val Acc=0.4137
Train Loss=2.7718, Train Acc=0.4661 | Val Loss=5.5935, Val Acc=0.3416
Train Loss=2.7981, Train Acc=0.4699 | Val Loss=4.8497, Val Acc=0.4199
Train Loss=2.7444, Train Acc=0.4890 | Val Loss=4.7339, Val Acc=0.4263
Train Loss=2.7237, Train Acc=0.5027 | Val Loss=4.6801, Val Acc=0.4197
Train Loss=2.4839, Train Acc=0.5046 | Val Loss=4.8526, Val Acc=0.3762
Train Loss=2.5574, Train Acc=0.5089 | Val Loss=4.8968, Val Acc=0.3928
Train Loss=2.5114, Train Acc=0.5215 | Val Loss=4.6072, Val Acc=0.4548
Train Loss=2.4821, Train Acc=0.5300 | Val Loss=4.8264, Val Acc=0.4066
Train Loss=2.4137, Train Acc=0.5371 | Val Loss=4.5312, Val Acc=0.4607
Train Loss=2.5262, Train Acc=0.5451 | Val Loss=4.5542, Val Acc=0.4738
Train Loss=2.3842, Train Acc=0.5585 | Val Loss=4.7957, Val Acc=0.4446
Train Loss=2.2695, Train Acc=0.5525 | Val Loss=4.2544, Val Acc=0.5103
Train Loss=2.2837, Train Acc=0.5615 | Val Loss=4.3623, Val Acc=0.5236
Train Loss=2.3758, Train Acc=0.5680 | Val Loss=4.6264, Val Acc=0.4557
Train Loss=2.3225, Train Acc=0.5767 | Val Loss=4.8597, Val Acc=0.4557
Train Loss=2.2853, Train Acc=0.5802 | Val Loss=4.4247, Val Acc=0.5025
Train Loss=2.2164, Train Acc=0.5916 | Val Loss=4.1710, Val Acc=0.5433
Train Loss=2.2137, Train Acc=0.6023 | Val Loss=4.1920, Val Acc=0.5526
Train Loss=2.1673, Train Acc=0.6013 | Val Loss=4.3228, Val Acc=0.5402
Train Loss=2.0607, Train Acc=0.6164 | Val Loss=4.4312, Val Acc=0.4947
Train Loss=2.1238, Train Acc=0.6231 | Val Loss=4.1679, Val Acc=0.5440
Train Loss=1.9381, Train Acc=0.6373 | Val Loss=4.6300, Val Acc=0.4123
Train Loss=2.0438, Train Acc=0.6316 | Val Loss=4.0766, Val Acc=0.5709
Train Loss=1.9622, Train Acc=0.6404 | Val Loss=4.0966, Val Acc=0.5464
