Train Loss=773.6844, Train Acc=0.2755 | Val Loss=146.9297, Val Acc=0.3050
Train Loss=744.9698, Train Acc=0.3095 | Val Loss=141.2843, Val Acc=0.3310
Train Loss=722.2322, Train Acc=0.3442 | Val Loss=137.2197, Val Acc=0.3802
Train Loss=698.3398, Train Acc=0.3681 | Val Loss=132.9332, Val Acc=0.4160
Train Loss=679.7392, Train Acc=0.3931 | Val Loss=132.0415, Val Acc=0.3865
Train Loss=656.3697, Train Acc=0.4231 | Val Loss=120.5869, Val Acc=0.4610
Train Loss=630.9207, Train Acc=0.4540 | Val Loss=117.6761, Val Acc=0.4996
Train Loss=610.9699, Train Acc=0.4751 | Val Loss=110.0551, Val Acc=0.5299
Train Loss=579.2039, Train Acc=0.5118 | Val Loss=107.9807, Val Acc=0.5439
Train Loss=550.7157, Train Acc=0.5391 | Val Loss=98.7824, Val Acc=0.5854
Train Loss=518.8889, Train Acc=0.5749 | Val Loss=92.7222, Val Acc=0.6107
Train Loss=489.5645, Train Acc=0.6047 | Val Loss=86.1229, Val Acc=0.6402
Train Loss=452.5214, Train Acc=0.6332 | Val Loss=79.8602, Val Acc=0.6866
Train Loss=422.3071, Train Acc=0.6621 | Val Loss=73.4272, Val Acc=0.7070
Train Loss=387.0745, Train Acc=0.6920 | Val Loss=70.5674, Val Acc=0.7252
Train Loss=358.7954, Train Acc=0.7177 | Val Loss=66.6808, Val Acc=0.7498
Train Loss=325.2157, Train Acc=0.7393 | Val Loss=59.7784, Val Acc=0.7639
Train Loss=290.4632, Train Acc=0.7784 | Val Loss=55.7993, Val Acc=0.7836
Train Loss=271.9616, Train Acc=0.7860 | Val Loss=54.2877, Val Acc=0.7913
Train Loss=241.9899, Train Acc=0.8151 | Val Loss=52.0789, Val Acc=0.8194
Train Loss=233.5739, Train Acc=0.8207 | Val Loss=43.6912, Val Acc=0.8489

Train Loss=191.0412, Train Acc=0.8570 | Val Loss=44.8176, Val Acc=0.8595
Train Loss=180.3889, Train Acc=0.8687 | Val Loss=40.9548, Val Acc=0.8679
Train Loss=155.1794, Train Acc=0.8837 | Val Loss=39.5733, Val Acc=0.8855
Train Loss=140.4567, Train Acc=0.9008 | Val Loss=38.7086, Val Acc=0.8826
Train Loss=143.9188, Train Acc=0.8935 | Val Loss=44.5239, Val Acc=0.8770
Train Loss=118.8840, Train Acc=0.9143 | Val Loss=44.7445, Val Acc=0.8700
Train Loss=120.9669, Train Acc=0.9088 | Val Loss=39.4023, Val Acc=0.8904
Train Loss=118.7043, Train Acc=0.9140 | Val Loss=44.7987, Val Acc=0.8840
Train Loss=108.9209, Train Acc=0.9203 | Val Loss=42.4214, Val Acc=0.8925
Train Loss=107.9359, Train Acc=0.9207 | Val Loss=44.7971, Val Acc=0.8791
Train Loss=88.0150, Train Acc=0.9379 | Val Loss=38.0035, Val Acc=0.9157
Train Loss=76.2064, Train Acc=0.9471 | Val Loss=38.8897, Val Acc=0.9129
