Train Loss=1.7017, Train Acc=0.3039 | Val Loss=1.7252, Val Acc=0.2292
Train Loss=1.4809, Train Acc=0.4520 | Val Loss=1.4323, Val Acc=0.4514
Train Loss=1.2750, Train Acc=0.5304 | Val Loss=1.2005, Val Acc=0.5972
Train Loss=1.1135, Train Acc=0.6118 | Val Loss=1.0562, Val Acc=0.6389
Train Loss=0.9465, Train Acc=0.6814 | Val Loss=0.9939, Val Acc=0.6528
Train Loss=0.8334, Train Acc=0.7078 | Val Loss=1.0442, Val Acc=0.6319
Train Loss=0.7251, Train Acc=0.7569 | Val Loss=0.9394, Val Acc=0.6111
Train Loss=0.6596, Train Acc=0.7784 | Val Loss=0.7355, Val Acc=0.7292
Train Loss=0.5895, Train Acc=0.7971 | Val Loss=0.6669, Val Acc=0.7639
Train Loss=0.4722, Train Acc=0.8490 | Val Loss=0.7147, Val Acc=0.7847
Train Loss=0.4633, Train Acc=0.8382 | Val Loss=0.8761, Val Acc=0.6875
Train Loss=0.4165, Train Acc=0.8657 | Val Loss=0.6557, Val Acc=0.7431
Train Loss=0.3739, Train Acc=0.8745 | Val Loss=0.9181, Val Acc=0.7014
Train Loss=0.3132, Train Acc=0.9000 | Val Loss=0.6267, Val Acc=0.7986
Train Loss=0.2494, Train Acc=0.9265 | Val Loss=0.5144, Val Acc=0.8194
Train Loss=0.2141, Train Acc=0.9284 | Val Loss=0.5941, Val Acc=0.8056
Train Loss=0.1906, Train Acc=0.9431 | Val Loss=0.5651, Val Acc=0.8056
Train Loss=0.1562, Train Acc=0.9588 | Val Loss=0.5944, Val Acc=0.8125
Train Loss=0.0977, Train Acc=0.9824 | Val Loss=0.5795, Val Acc=0.8194
Train Loss=0.0913, Train Acc=0.9804 | Val Loss=0.5505, Val Acc=0.8403
Train Loss=0.1350, Train Acc=0.9588 | Val Loss=0.6604, Val Acc=0.7708
Train Loss=0.1713, Train Acc=0.9451 | Val Loss=0.6343, Val Acc=0.7708
Train Loss=0.1653, Train Acc=0.9451 | Val Loss=0.6395, Val Acc=0.8125
Train Loss=0.1437, Train Acc=0.9559 | Val Loss=0.6422, Val Acc=0.8125
Train Loss=0.1534, Train Acc=0.9480 | Val Loss=0.8520, Val Acc=0.7292
Train Loss=0.1139, Train Acc=0.9735 | Val Loss=1.0470, Val Acc=0.6806
Train Loss=0.1521, Train Acc=0.9500 | Val Loss=0.7272, Val Acc=0.7639
Train Loss=0.1456, Train Acc=0.9559 | Val Loss=0.5044, Val Acc=0.8403
Train Loss=0.0949, Train Acc=0.9784 | Val Loss=0.5460, Val Acc=0.8403
Train Loss=0.0743, Train Acc=0.9824 | Val Loss=0.5984, Val Acc=0.8403
Train Loss=0.0754, Train Acc=0.9814 | Val Loss=0.6910, Val Acc=0.8125
Train Loss=0.0652, Train Acc=0.9863 | Val Loss=0.6710, Val Acc=0.7986
Train Loss=0.0437, Train Acc=0.9941 | Val Loss=0.5553, Val Acc=0.8472
Train Loss=0.0256, Train Acc=0.9980 | Val Loss=0.5163, Val Acc=0.8611
Train Loss=0.0332, Train Acc=0.9931 | Val Loss=0.5359, Val Acc=0.8403
Train Loss=0.0262, Train Acc=0.9931 | Val Loss=0.4761, Val Acc=0.8819
Train Loss=0.0417, Train Acc=0.9922 | Val Loss=0.7232, Val Acc=0.7986
Train Loss=0.0445, Train Acc=0.9902 | Val Loss=0.5801, Val Acc=0.8333
Train Loss=0.0518, Train Acc=0.9863 | Val Loss=0.5887, Val Acc=0.8194
Train Loss=0.0482, Train Acc=0.9873 | Val Loss=0.5571, Val Acc=0.8333
Train Loss=0.0630, Train Acc=0.9814 | Val Loss=0.5068, Val Acc=0.8611
Train Loss=0.0279, Train Acc=0.9971 | Val Loss=0.6173, Val Acc=0.8611
Train Loss=0.0214, Train Acc=0.9961 | Val Loss=0.6455, Val Acc=0.8403
Train Loss=0.0149, Train Acc=1.0000 | Val Loss=0.5193, Val Acc=0.8819
Train Loss=0.0128, Train Acc=0.9990 | Val Loss=0.5604, Val Acc=0.8403
Train Loss=0.0100, Train Acc=1.0000 | Val Loss=0.6627, Val Acc=0.8333
Train Loss=0.0070, Train Acc=1.0000 | Val Loss=0.6328, Val Acc=0.8472
Train Loss=0.0054, Train Acc=1.0000 | Val Loss=0.5905, Val Acc=0.8472
Train Loss=0.0042, Train Acc=1.0000 | Val Loss=0.6301, Val Acc=0.8472
Train Loss=0.0040, Train Acc=1.0000 | Val Loss=0.6120, Val Acc=0.8472
Train Loss=0.0030, Train Acc=1.0000 | Val Loss=0.6115, Val Acc=0.8542
Train Loss=0.0028, Train Acc=1.0000 | Val Loss=0.6198, Val Acc=0.8472
Train Loss=0.0027, Train Acc=1.0000 | Val Loss=0.6477, Val Acc=0.8611
Train Loss=0.0025, Train Acc=1.0000 | Val Loss=0.6462, Val Acc=0.8542
Train Loss=0.0024, Train Acc=1.0000 | Val Loss=0.6599, Val Acc=0.8542
Train Loss=0.0023, Train Acc=1.0000 | Val Loss=0.6640, Val Acc=0.8472
Train Loss=0.0021, Train Acc=1.0000 | Val Loss=0.6588, Val Acc=0.8611
Train Loss=0.0020, Train Acc=1.0000 | Val Loss=0.6764, Val Acc=0.8472
Train Loss=0.0019, Train Acc=1.0000 | Val Loss=0.6830, Val Acc=0.8472
Train Loss=0.0018, Train Acc=1.0000 | Val Loss=0.6975, Val Acc=0.8542
Train Loss=0.0016, Train Acc=1.0000 | Val Loss=0.6901, Val Acc=0.8403
Train Loss=0.0017, Train Acc=1.0000 | Val Loss=0.6981, Val Acc=0.8472
Train Loss=0.0015, Train Acc=1.0000 | Val Loss=0.7100, Val Acc=0.8542
Train Loss=0.0020, Train Acc=1.0000 | Val Loss=0.7188, Val Acc=0.8403
Train Loss=0.0017, Train Acc=1.0000 | Val Loss=0.6972, Val Acc=0.8403
Train Loss=0.0015, Train Acc=1.0000 | Val Loss=0.7118, Val Acc=0.8611
Train Loss=0.0013, Train Acc=1.0000 | Val Loss=0.7202, Val Acc=0.8542
Train Loss=0.0014, Train Acc=1.0000 | Val Loss=0.7217, Val Acc=0.8472
Train Loss=0.0013, Train Acc=1.0000 | Val Loss=0.7255, Val Acc=0.8472
Train Loss=0.0015, Train Acc=1.0000 | Val Loss=0.7587, Val Acc=0.8542
