Train Loss=109.4704, Train Acc=0.3167 | Val Loss=13.9924, Val Acc=0.4028
Train Loss=96.6716, Train Acc=0.4010 | Val Loss=12.3689, Val Acc=0.4167
Train Loss=90.3094, Train Acc=0.4490 | Val Loss=12.0719, Val Acc=0.4583
Train Loss=83.1497, Train Acc=0.5049 | Val Loss=11.4429, Val Acc=0.4514
Train Loss=80.9457, Train Acc=0.5225 | Val Loss=11.3501, Val Acc=0.5278
Train Loss=76.1666, Train Acc=0.5324 | Val Loss=11.2962, Val Acc=0.5208
Train Loss=74.4241, Train Acc=0.5598 | Val Loss=11.5479, Val Acc=0.5000
Train Loss=71.4656, Train Acc=0.5578 | Val Loss=10.7804, Val Acc=0.5556
Train Loss=68.9222, Train Acc=0.5980 | Val Loss=11.2361, Val Acc=0.5347
Train Loss=63.7491, Train Acc=0.6294 | Val Loss=9.8588, Val Acc=0.5764
Train Loss=61.4987, Train Acc=0.6461 | Val Loss=11.2247, Val Acc=0.5208
Train Loss=57.7177, Train Acc=0.6814 | Val Loss=10.3869, Val Acc=0.5625
Train Loss=50.0020, Train Acc=0.7167 | Val Loss=9.6092, Val Acc=0.6250
Train Loss=48.9990, Train Acc=0.7108 | Val Loss=11.1091, Val Acc=0.5764
Train Loss=46.1040, Train Acc=0.7510 | Val Loss=10.4178, Val Acc=0.5764
Train Loss=40.5404, Train Acc=0.7755 | Val Loss=9.9108, Val Acc=0.5833
Train Loss=37.4015, Train Acc=0.8020 | Val Loss=9.9205, Val Acc=0.6181
Train Loss=33.9928, Train Acc=0.8294 | Val Loss=10.8644, Val Acc=0.5764
Train Loss=30.7969, Train Acc=0.8412 | Val Loss=10.9554, Val Acc=0.5833
Train Loss=27.1192, Train Acc=0.8539 | Val Loss=10.8233, Val Acc=0.5556
Train Loss=24.2022, Train Acc=0.8745 | Val Loss=11.4422, Val Acc=0.5694
Train Loss=23.3411, Train Acc=0.8794 | Val Loss=11.5954, Val Acc=0.5556
Train Loss=25.0242, Train Acc=0.8686 | Val Loss=11.8643, Val Acc=0.5625
Train Loss=20.4193, Train Acc=0.8922 | Val Loss=10.7092, Val Acc=0.6389

Train Loss=15.2801, Train Acc=0.9245 | Val Loss=11.5050, Val Acc=0.6042
Train Loss=13.7831, Train Acc=0.9324 | Val Loss=11.6787, Val Acc=0.6181
Train Loss=17.4120, Train Acc=0.9196 | Val Loss=12.7318, Val Acc=0.6111
Train Loss=17.7253, Train Acc=0.9186 | Val Loss=11.4290, Val Acc=0.5833
Train Loss=14.6370, Train Acc=0.9245 | Val Loss=12.5061, Val Acc=0.5625
Train Loss=12.5547, Train Acc=0.9412 | Val Loss=12.3099, Val Acc=0.6181
Train Loss=11.8344, Train Acc=0.9402 | Val Loss=12.9472, Val Acc=0.5764
Train Loss=14.5922, Train Acc=0.9343 | Val Loss=13.2363, Val Acc=0.5625
Train Loss=8.7783, Train Acc=0.9627 | Val Loss=13.1296, Val Acc=0.5625
Train Loss=10.3554, Train Acc=0.9559 | Val Loss=14.4408, Val Acc=0.5417
Train Loss=8.7943, Train Acc=0.9559 | Val Loss=13.6310, Val Acc=0.6042
Train Loss=9.5580, Train Acc=0.9431 | Val Loss=13.2307, Val Acc=0.5556
Train Loss=7.9223, Train Acc=0.9608 | Val Loss=16.8409, Val Acc=0.5417
Train Loss=6.8430, Train Acc=0.9647 | Val Loss=14.1022, Val Acc=0.5278
Train Loss=6.6755, Train Acc=0.9647 | Val Loss=14.3969, Val Acc=0.5694
Train Loss=7.9905, Train Acc=0.9608 | Val Loss=13.8347, Val Acc=0.6250
Train Loss=6.2069, Train Acc=0.9725 | Val Loss=14.9439, Val Acc=0.5278
Train Loss=10.2963, Train Acc=0.9480 | Val Loss=12.9533, Val Acc=0.6250
Train Loss=8.5071, Train Acc=0.9569 | Val Loss=15.3790, Val Acc=0.5764
Train Loss=8.0677, Train Acc=0.9529 | Val Loss=15.1957, Val Acc=0.5903
Train Loss=14.0741, Train Acc=0.9304 | Val Loss=16.4758, Val Acc=0.5417
Train Loss=7.1022, Train Acc=0.9676 | Val Loss=14.9995, Val Acc=0.5625
Train Loss=5.5412, Train Acc=0.9735 | Val Loss=14.8943, Val Acc=0.6181
Train Loss=4.9996, Train Acc=0.9745 | Val Loss=17.0237, Val Acc=0.5556
Train Loss=5.5821, Train Acc=0.9735 | Val Loss=16.3549, Val Acc=0.5625
Train Loss=4.3931, Train Acc=0.9784 | Val Loss=15.2722, Val Acc=0.5972
