Train Loss=1.4745, Train Acc=0.4017 | Val Loss=1.4285, Val Acc=0.4079
Train Loss=1.3157, Train Acc=0.4817 | Val Loss=1.3775, Val Acc=0.4562
Train Loss=1.2311, Train Acc=0.5167 | Val Loss=1.2716, Val Acc=0.5169
Train Loss=1.1783, Train Acc=0.5494 | Val Loss=1.1752, Val Acc=0.5596
Train Loss=1.1074, Train Acc=0.5755 | Val Loss=1.1812, Val Acc=0.5483
Train Loss=1.0417, Train Acc=0.6007 | Val Loss=1.1239, Val Acc=0.5764
Train Loss=0.9742, Train Acc=0.6339 | Val Loss=1.0834, Val Acc=0.6056
Train Loss=0.9402, Train Acc=0.6519 | Val Loss=1.1074, Val Acc=0.5719
Train Loss=0.8722, Train Acc=0.6807 | Val Loss=1.1111, Val Acc=0.6146
Train Loss=0.8269, Train Acc=0.6905 | Val Loss=1.0625, Val Acc=0.6157
Train Loss=0.7465, Train Acc=0.7313 | Val Loss=1.0274, Val Acc=0.6303
Train Loss=0.6970, Train Acc=0.7465 | Val Loss=1.1702, Val Acc=0.5809
Train Loss=0.6630, Train Acc=0.7564 | Val Loss=1.1297, Val Acc=0.5910
Train Loss=0.5657, Train Acc=0.8018 | Val Loss=1.0762, Val Acc=0.6303
Train Loss=0.5032, Train Acc=0.8226 | Val Loss=1.0963, Val Acc=0.6416

Train Loss=0.4441, Train Acc=0.8494 | Val Loss=1.1424, Val Acc=0.6281
Train Loss=0.3702, Train Acc=0.8757 | Val Loss=1.1768, Val Acc=0.6393
Train Loss=0.3148, Train Acc=0.8972 | Val Loss=1.1919, Val Acc=0.6236
Train Loss=0.2477, Train Acc=0.9255 | Val Loss=1.3327, Val Acc=0.6202
Train Loss=0.2256, Train Acc=0.9301 | Val Loss=1.5304, Val Acc=0.5674
Train Loss=0.1620, Train Acc=0.9562 | Val Loss=1.3251, Val Acc=0.6360
Train Loss=0.1409, Train Acc=0.9620 | Val Loss=1.5108, Val Acc=0.6146
Train Loss=0.1101, Train Acc=0.9709 | Val Loss=1.5665, Val Acc=0.6281
Train Loss=0.0923, Train Acc=0.9761 | Val Loss=1.7270, Val Acc=0.5809
Train Loss=0.0643, Train Acc=0.9867 | Val Loss=1.6833, Val Acc=0.6090
Train Loss=0.0745, Train Acc=0.9807 | Val Loss=1.7580, Val Acc=0.6034
Train Loss=0.0745, Train Acc=0.9817 | Val Loss=1.7231, Val Acc=0.6191
Train Loss=0.0472, Train Acc=0.9896 | Val Loss=2.0728, Val Acc=0.5629
Train Loss=0.0851, Train Acc=0.9750 | Val Loss=1.7167, Val Acc=0.5955
Train Loss=0.0513, Train Acc=0.9891 | Val Loss=1.8501, Val Acc=0.6169
Train Loss=0.0265, Train Acc=0.9959 | Val Loss=1.8170, Val Acc=0.6225
Train Loss=0.0376, Train Acc=0.9916 | Val Loss=1.8435, Val Acc=0.6045
Train Loss=0.0977, Train Acc=0.9682 | Val Loss=1.7884, Val Acc=0.6247
Train Loss=0.0394, Train Acc=0.9913 | Val Loss=2.0270, Val Acc=0.5910
Train Loss=0.0201, Train Acc=0.9962 | Val Loss=1.9951, Val Acc=0.6225
Train Loss=0.0516, Train Acc=0.9848 | Val Loss=2.1486, Val Acc=0.5472
Train Loss=0.0691, Train Acc=0.9815 | Val Loss=1.8551, Val Acc=0.6247
Train Loss=0.0864, Train Acc=0.9722 | Val Loss=1.9472, Val Acc=0.5843
Train Loss=0.0466, Train Acc=0.9886 | Val Loss=1.9134, Val Acc=0.6337
Train Loss=0.0297, Train Acc=0.9934 | Val Loss=1.9447, Val Acc=0.6157
Train Loss=0.0088, Train Acc=0.9991 | Val Loss=2.0114, Val Acc=0.6393
Train Loss=0.0381, Train Acc=0.9888 | Val Loss=2.2200, Val Acc=0.5348
Train Loss=0.0462, Train Acc=0.9877 | Val Loss=1.9631, Val Acc=0.6146
Train Loss=0.0241, Train Acc=0.9941 | Val Loss=1.9617, Val Acc=0.6191
Train Loss=0.0210, Train Acc=0.9948 | Val Loss=2.0926, Val Acc=0.6000
Train Loss=0.0228, Train Acc=0.9946 | Val Loss=2.1184, Val Acc=0.6056
Train Loss=0.0194, Train Acc=0.9946 | Val Loss=2.1065, Val Acc=0.6045
Train Loss=0.0263, Train Acc=0.9929 | Val Loss=2.1617, Val Acc=0.6090
Train Loss=0.0276, Train Acc=0.9930 | Val Loss=2.1990, Val Acc=0.5865
Train Loss=0.0328, Train Acc=0.9907 | Val Loss=2.4396, Val Acc=0.5854
Train Loss=0.0635, Train Acc=0.9801 | Val Loss=2.0277, Val Acc=0.6157
Train Loss=0.0539, Train Acc=0.9831 | Val Loss=2.0918, Val Acc=0.6371
Train Loss=0.0417, Train Acc=0.9877 | Val Loss=2.3725, Val Acc=0.5854
Train Loss=0.0083, Train Acc=0.9984 | Val Loss=2.2413, Val Acc=0.6202
Train Loss=0.0037, Train Acc=0.9992 | Val Loss=2.2852, Val Acc=0.6169
Train Loss=0.0026, Train Acc=0.9995 | Val Loss=2.2636, Val Acc=0.6213
Train Loss=0.0023, Train Acc=0.9995 | Val Loss=2.3082, Val Acc=0.6281
Train Loss=0.0022, Train Acc=0.9994 | Val Loss=2.2961, Val Acc=0.6225
Train Loss=0.0020, Train Acc=0.9994 | Val Loss=2.2864, Val Acc=0.6270
Train Loss=0.0019, Train Acc=0.9992 | Val Loss=2.3440, Val Acc=0.6191
Train Loss=0.0017, Train Acc=0.9994 | Val Loss=2.3393, Val Acc=0.6180
Train Loss=0.0016, Train Acc=0.9995 | Val Loss=2.3712, Val Acc=0.6180
Train Loss=0.0018, Train Acc=0.9994 | Val Loss=2.3673, Val Acc=0.6135
Train Loss=0.0017, Train Acc=0.9994 | Val Loss=2.3913, Val Acc=0.6124
Train Loss=0.0017, Train Acc=0.9992 | Val Loss=2.4203, Val Acc=0.6146
Train Loss=0.0016, Train Acc=0.9994 | Val Loss=2.3971, Val Acc=0.6213
Train Loss=0.0014, Train Acc=0.9994 | Val Loss=2.4578, Val Acc=0.6112
Train Loss=0.0015, Train Acc=0.9992 | Val Loss=2.4056, Val Acc=0.6202
Train Loss=0.0015, Train Acc=0.9991 | Val Loss=2.4506, Val Acc=0.6191
Train Loss=0.0014, Train Acc=0.9992 | Val Loss=2.4664, Val Acc=0.6135
Train Loss=0.0014, Train Acc=0.9994 | Val Loss=2.4854, Val Acc=0.6169
Train Loss=0.0015, Train Acc=0.9995 | Val Loss=2.5155, Val Acc=0.6135
Train Loss=0.0014, Train Acc=0.9992 | Val Loss=2.4996, Val Acc=0.6112
Train Loss=0.0014, Train Acc=0.9991 | Val Loss=2.5462, Val Acc=0.6067
Train Loss=0.0012, Train Acc=0.9995 | Val Loss=2.5273, Val Acc=0.6124
Train Loss=0.0012, Train Acc=0.9994 | Val Loss=2.5760, Val Acc=0.6079
Train Loss=0.0014, Train Acc=0.9992 | Val Loss=2.5334, Val Acc=0.6180
Train Loss=0.0012, Train Acc=0.9994 | Val Loss=2.5289, Val Acc=0.6135
Train Loss=0.0013, Train Acc=0.9992 | Val Loss=2.5177, Val Acc=0.6180
Train Loss=0.0013, Train Acc=0.9992 | Val Loss=2.5414, Val Acc=0.6169
Train Loss=0.0012, Train Acc=0.9992 | Val Loss=2.5741, Val Acc=0.6090
Train Loss=0.0012, Train Acc=0.9994 | Val Loss=2.6349, Val Acc=0.6079
Train Loss=0.0013, Train Acc=0.9992 | Val Loss=2.6406, Val Acc=0.6056
Train Loss=0.0014, Train Acc=0.9994 | Val Loss=2.5833, Val Acc=0.6146
Train Loss=0.0011, Train Acc=0.9994 | Val Loss=2.5991, Val Acc=0.6135
