Train Loss=656.0699, Train Acc=0.3095 | Val Loss=91.4994, Val Acc=0.3090
Train Loss=625.3771, Train Acc=0.3347 | Val Loss=84.4186, Val Acc=0.3562
Train Loss=611.4809, Train Acc=0.3563 | Val Loss=94.8716, Val Acc=0.2618
Train Loss=592.7070, Train Acc=0.3872 | Val Loss=88.9654, Val Acc=0.3596
Train Loss=572.4747, Train Acc=0.4145 | Val Loss=79.5935, Val Acc=0.4292
Train Loss=556.1840, Train Acc=0.4340 | Val Loss=77.8360, Val Acc=0.4472
Train Loss=536.8309, Train Acc=0.4558 | Val Loss=76.1105, Val Acc=0.4831
Train Loss=515.9747, Train Acc=0.4901 | Val Loss=75.5437, Val Acc=0.4652
Train Loss=495.9782, Train Acc=0.5162 | Val Loss=71.1547, Val Acc=0.5045
Train Loss=476.4113, Train Acc=0.5395 | Val Loss=68.5630, Val Acc=0.5315
Train Loss=456.2831, Train Acc=0.5588 | Val Loss=87.4933, Val Acc=0.4404
Train Loss=434.7692, Train Acc=0.5877 | Val Loss=67.1515, Val Acc=0.5404
Train Loss=415.6660, Train Acc=0.6018 | Val Loss=68.2028, Val Acc=0.5382
Train Loss=390.2036, Train Acc=0.6317 | Val Loss=67.2601, Val Acc=0.5596
Train Loss=363.2503, Train Acc=0.6676 | Val Loss=67.2541, Val Acc=0.5640
Train Loss=344.7638, Train Acc=0.6820 | Val Loss=70.8099, Val Acc=0.5393
Train Loss=316.1278, Train Acc=0.7134 | Val Loss=71.5915, Val Acc=0.5281
Train Loss=281.4459, Train Acc=0.7419 | Val Loss=70.9554, Val Acc=0.5382
Train Loss=257.1248, Train Acc=0.7672 | Val Loss=72.1112, Val Acc=0.5494
Train Loss=238.9934, Train Acc=0.7887 | Val Loss=79.6302, Val Acc=0.5236
Train Loss=213.5700, Train Acc=0.8180 | Val Loss=80.2108, Val Acc=0.5483
Train Loss=193.6460, Train Acc=0.8376 | Val Loss=79.2764, Val Acc=0.5551
Train Loss=169.3844, Train Acc=0.8577 | Val Loss=85.5580, Val Acc=0.5416
Train Loss=193.9596, Train Acc=0.8346 | Val Loss=84.8082, Val Acc=0.5416
Train Loss=133.5573, Train Acc=0.8883 | Val Loss=95.7758, Val Acc=0.5180
Train Loss=125.1966, Train Acc=0.8948 | Val Loss=97.7527, Val Acc=0.5393
Train Loss=126.5893, Train Acc=0.8921 | Val Loss=93.5996, Val Acc=0.5326
Train Loss=102.9168, Train Acc=0.9141 | Val Loss=97.2906, Val Acc=0.5393
Train Loss=101.8790, Train Acc=0.9121 | Val Loss=100.1205, Val Acc=0.5360
Train Loss=103.5498, Train Acc=0.9152 | Val Loss=103.3111, Val Acc=0.5247
Train Loss=85.7983, Train Acc=0.9303 | Val Loss=104.4613, Val Acc=0.5494
Train Loss=77.0545, Train Acc=0.9369 | Val Loss=102.9004, Val Acc=0.5517
Train Loss=85.4128, Train Acc=0.9288 | Val Loss=100.6305, Val Acc=0.5472
Train Loss=73.7706, Train Acc=0.9399 | Val Loss=106.7704, Val Acc=0.5393
Train Loss=67.3857, Train Acc=0.9440 | Val Loss=121.5567, Val Acc=0.5247
Train Loss=77.1706, Train Acc=0.9402 | Val Loss=111.1811, Val Acc=0.5382
Train Loss=65.6622, Train Acc=0.9459 | Val Loss=107.7987, Val Acc=0.5551
Train Loss=71.7887, Train Acc=0.9399 | Val Loss=112.8216, Val Acc=0.5292
Train Loss=54.5212, Train Acc=0.9575 | Val Loss=119.8898, Val Acc=0.5326
Train Loss=79.0355, Train Acc=0.9356 | Val Loss=107.4993, Val Acc=0.5461
Train Loss=71.2935, Train Acc=0.9443 | Val Loss=112.9743, Val Acc=0.5472
Train Loss=52.2352, Train Acc=0.9586 | Val Loss=118.5607, Val Acc=0.5281
Train Loss=48.7755, Train Acc=0.9614 | Val Loss=124.7449, Val Acc=0.5236
