Train Loss=1.7276, Train Acc=0.3215 | Val Loss=1.6756, Val Acc=0.2787
Train Loss=1.3702, Train Acc=0.5011 | Val Loss=1.3482, Val Acc=0.4754
Train Loss=1.1780, Train Acc=0.6253 | Val Loss=1.2249, Val Acc=0.4590
Train Loss=1.0894, Train Acc=0.6186 | Val Loss=1.0302, Val Acc=0.6066
Train Loss=1.0462, Train Acc=0.6275 | Val Loss=0.9919, Val Acc=0.5902
Train Loss=0.9323, Train Acc=0.7007 | Val Loss=0.9497, Val Acc=0.7049
Train Loss=0.8598, Train Acc=0.7140 | Val Loss=1.0686, Val Acc=0.6066
Train Loss=0.8070, Train Acc=0.7450 | Val Loss=0.7941, Val Acc=0.7377
Train Loss=0.7078, Train Acc=0.7783 | Val Loss=0.8054, Val Acc=0.6721
Train Loss=0.7205, Train Acc=0.7539 | Val Loss=0.8445, Val Acc=0.7049
Train Loss=0.6293, Train Acc=0.7827 | Val Loss=0.8063, Val Acc=0.7377
Train Loss=0.6279, Train Acc=0.7827 | Val Loss=0.7926, Val Acc=0.6721
Train Loss=0.5821, Train Acc=0.8093 | Val Loss=0.8010, Val Acc=0.7049
Train Loss=0.5592, Train Acc=0.8226 | Val Loss=0.7236, Val Acc=0.7213
Train Loss=0.4940, Train Acc=0.8825 | Val Loss=0.6939, Val Acc=0.8033
Train Loss=0.5496, Train Acc=0.8426 | Val Loss=0.9100, Val Acc=0.6721
Train Loss=0.6450, Train Acc=0.7871 | Val Loss=1.0599, Val Acc=0.5738
Train Loss=0.5707, Train Acc=0.8204 | Val Loss=0.8052, Val Acc=0.6885
Train Loss=0.4871, Train Acc=0.8581 | Val Loss=0.6494, Val Acc=0.7541
Train Loss=0.3759, Train Acc=0.9202 | Val Loss=0.6067, Val Acc=0.8033
Train Loss=0.3397, Train Acc=0.9224 | Val Loss=0.5876, Val Acc=0.8197
Train Loss=0.3776, Train Acc=0.9024 | Val Loss=0.6361, Val Acc=0.7705
Train Loss=0.3430, Train Acc=0.9135 | Val Loss=0.6053, Val Acc=0.8033
Train Loss=0.3252, Train Acc=0.9135 | Val Loss=0.6762, Val Acc=0.7541
Train Loss=0.3096, Train Acc=0.9313 | Val Loss=0.5921, Val Acc=0.7869
Train Loss=0.2746, Train Acc=0.9290 | Val Loss=0.6024, Val Acc=0.8033
Train Loss=0.2208, Train Acc=0.9690 | Val Loss=0.6034, Val Acc=0.7869
Train Loss=0.1951, Train Acc=0.9690 | Val Loss=0.4918, Val Acc=0.8197
Train Loss=0.1400, Train Acc=0.9933 | Val Loss=0.5711, Val Acc=0.8033
Train Loss=0.1109, Train Acc=0.9911 | Val Loss=0.5527, Val Acc=0.8033
Train Loss=0.1238, Train Acc=0.9845 | Val Loss=0.4722, Val Acc=0.8689

Train Loss=0.1371, Train Acc=0.9712 | Val Loss=0.7310, Val Acc=0.6721
Train Loss=0.5075, Train Acc=0.8115 | Val Loss=0.7484, Val Acc=0.7213
Train Loss=0.5047, Train Acc=0.8271 | Val Loss=0.7294, Val Acc=0.6885
Train Loss=0.3338, Train Acc=0.9290 | Val Loss=0.8371, Val Acc=0.6230
Train Loss=0.3707, Train Acc=0.9024 | Val Loss=0.9521, Val Acc=0.6393
Train Loss=0.4580, Train Acc=0.8603 | Val Loss=0.9345, Val Acc=0.6393
Train Loss=0.4807, Train Acc=0.8248 | Val Loss=0.7771, Val Acc=0.7377
