Train Loss=52.2179, Train Acc=0.2949 | Val Loss=7.2319, Val Acc=0.2459
Train Loss=41.9231, Train Acc=0.3991 | Val Loss=5.2104, Val Acc=0.6066
Train Loss=37.3925, Train Acc=0.4834 | Val Loss=4.5818, Val Acc=0.6557
Train Loss=34.9056, Train Acc=0.5565 | Val Loss=4.2189, Val Acc=0.6066
Train Loss=36.3177, Train Acc=0.5610 | Val Loss=4.3602, Val Acc=0.6066
Train Loss=32.1446, Train Acc=0.5898 | Val Loss=4.0483, Val Acc=0.6230
Train Loss=30.9814, Train Acc=0.5987 | Val Loss=3.7162, Val Acc=0.6230
Train Loss=33.0056, Train Acc=0.5965 | Val Loss=4.3909, Val Acc=0.5410
Train Loss=28.3058, Train Acc=0.6475 | Val Loss=3.9684, Val Acc=0.6721
Train Loss=28.5718, Train Acc=0.6519 | Val Loss=4.4378, Val Acc=0.5902
Train Loss=27.5164, Train Acc=0.6741 | Val Loss=3.9103, Val Acc=0.5574
Train Loss=24.6702, Train Acc=0.7007 | Val Loss=4.0857, Val Acc=0.5574
Train Loss=24.7997, Train Acc=0.7384 | Val Loss=3.8755, Val Acc=0.6230
Train Loss=27.6055, Train Acc=0.6585 | Val Loss=4.3250, Val Acc=0.6230
Train Loss=27.4911, Train Acc=0.6630 | Val Loss=4.2084, Val Acc=0.5574
Train Loss=27.8073, Train Acc=0.6519 | Val Loss=3.5986, Val Acc=0.6230
Train Loss=26.8862, Train Acc=0.6874 | Val Loss=3.5962, Val Acc=0.6721
Train Loss=25.8322, Train Acc=0.7007 | Val Loss=4.0904, Val Acc=0.6230
Train Loss=28.5074, Train Acc=0.6430 | Val Loss=4.0569, Val Acc=0.5574
Train Loss=21.7444, Train Acc=0.7517 | Val Loss=3.5441, Val Acc=0.6393
Train Loss=35.2608, Train Acc=0.5432 | Val Loss=4.1222, Val Acc=0.5246
Train Loss=29.0540, Train Acc=0.6231 | Val Loss=4.4344, Val Acc=0.5410
Train Loss=24.0252, Train Acc=0.7095 | Val Loss=3.7303, Val Acc=0.6393
Train Loss=21.6594, Train Acc=0.7251 | Val Loss=4.5870, Val Acc=0.5246
Train Loss=19.6423, Train Acc=0.7561 | Val Loss=3.2674, Val Acc=0.6721
Train Loss=17.8933, Train Acc=0.7938 | Val Loss=3.4462, Val Acc=0.6721
Train Loss=16.9954, Train Acc=0.8093 | Val Loss=3.2735, Val Acc=0.6557
Train Loss=16.2608, Train Acc=0.8226 | Val Loss=4.1912, Val Acc=0.6230
Train Loss=19.1633, Train Acc=0.8093 | Val Loss=7.7042, Val Acc=0.3770
Train Loss=28.9602, Train Acc=0.6563 | Val Loss=5.8353, Val Acc=0.4918
Train Loss=25.8489, Train Acc=0.6585 | Val Loss=4.1601, Val Acc=0.6066
Train Loss=20.6401, Train Acc=0.7317 | Val Loss=3.6661, Val Acc=0.6066
Train Loss=18.4724, Train Acc=0.7938 | Val Loss=3.6599, Val Acc=0.6066
Train Loss=16.7244, Train Acc=0.7894 | Val Loss=4.3301, Val Acc=0.6066
Train Loss=19.0954, Train Acc=0.7694 | Val Loss=4.7130, Val Acc=0.6066
Train Loss=16.7505, Train Acc=0.8027 | Val Loss=3.8227, Val Acc=0.7377
Train Loss=14.7624, Train Acc=0.8271 | Val Loss=3.9883, Val Acc=0.6557
Train Loss=13.1927, Train Acc=0.8714 | Val Loss=3.8272, Val Acc=0.6230
Train Loss=10.1890, Train Acc=0.9002 | Val Loss=4.4992, Val Acc=0.6066
Train Loss=10.2196, Train Acc=0.9047 | Val Loss=4.8743, Val Acc=0.5902
Train Loss=10.0819, Train Acc=0.8891 | Val Loss=3.8711, Val Acc=0.6230
Train Loss=8.5962, Train Acc=0.9113 | Val Loss=3.9591, Val Acc=0.6230
Train Loss=12.2531, Train Acc=0.8670 | Val Loss=4.9407, Val Acc=0.6393
Train Loss=10.2646, Train Acc=0.8780 | Val Loss=4.6006, Val Acc=0.6066
Train Loss=9.5127, Train Acc=0.8958 | Val Loss=4.1208, Val Acc=0.6393
Train Loss=7.9446, Train Acc=0.9202 | Val Loss=3.7577, Val Acc=0.6393
Train Loss=6.3172, Train Acc=0.9446 | Val Loss=3.9844, Val Acc=0.6066
Train Loss=6.1323, Train Acc=0.9401 | Val Loss=3.8196, Val Acc=0.6557
Train Loss=12.6202, Train Acc=0.9047 | Val Loss=5.3422, Val Acc=0.5902
Train Loss=11.5584, Train Acc=0.8559 | Val Loss=4.0895, Val Acc=0.6557
