Train Loss=1.9735, Train Acc=0.2451 | Val Loss=1.9653, Val Acc=0.2569
Train Loss=1.8716, Train Acc=0.3637 | Val Loss=1.8444, Val Acc=0.3194
Train Loss=1.7644, Train Acc=0.4108 | Val Loss=1.7226, Val Acc=0.4514
Train Loss=1.6653, Train Acc=0.4588 | Val Loss=1.6353, Val Acc=0.4722
Train Loss=1.5760, Train Acc=0.5039 | Val Loss=1.5459, Val Acc=0.5069
Train Loss=1.4762, Train Acc=0.5529 | Val Loss=1.4478, Val Acc=0.5486
Train Loss=1.3940, Train Acc=0.5755 | Val Loss=1.3692, Val Acc=0.5625
Train Loss=1.2854, Train Acc=0.6245 | Val Loss=1.2589, Val Acc=0.6389
Train Loss=1.2053, Train Acc=0.6637 | Val Loss=1.1849, Val Acc=0.6389
Train Loss=1.1300, Train Acc=0.6853 | Val Loss=1.1297, Val Acc=0.7014
Train Loss=1.0729, Train Acc=0.7147 | Val Loss=1.0652, Val Acc=0.7083
Train Loss=0.9843, Train Acc=0.7412 | Val Loss=1.0209, Val Acc=0.6736
Train Loss=0.9463, Train Acc=0.7569 | Val Loss=0.9955, Val Acc=0.7153
Train Loss=0.8727, Train Acc=0.7843 | Val Loss=0.9279, Val Acc=0.7431
Train Loss=0.8206, Train Acc=0.8118 | Val Loss=0.9191, Val Acc=0.7361
Train Loss=0.7741, Train Acc=0.8235 | Val Loss=0.8819, Val Acc=0.7708
Train Loss=0.7255, Train Acc=0.8431 | Val Loss=0.8285, Val Acc=0.7778
Train Loss=0.7002, Train Acc=0.8588 | Val Loss=0.8048, Val Acc=0.7778
Train Loss=0.6684, Train Acc=0.8686 | Val Loss=0.7920, Val Acc=0.7778
Train Loss=0.6359, Train Acc=0.8843 | Val Loss=0.7950, Val Acc=0.7917
Train Loss=0.5960, Train Acc=0.8814 | Val Loss=0.7612, Val Acc=0.8125
Train Loss=0.5596, Train Acc=0.9078 | Val Loss=0.7472, Val Acc=0.7917
Train Loss=0.5507, Train Acc=0.9108 | Val Loss=0.7182, Val Acc=0.8333
Train Loss=0.5087, Train Acc=0.9284 | Val Loss=0.7605, Val Acc=0.7917
Train Loss=0.5051, Train Acc=0.9186 | Val Loss=0.7063, Val Acc=0.8194
Train Loss=0.4606, Train Acc=0.9382 | Val Loss=0.7056, Val Acc=0.8125
Train Loss=0.4313, Train Acc=0.9461 | Val Loss=0.6806, Val Acc=0.8333
Train Loss=0.4044, Train Acc=0.9598 | Val Loss=0.6910, Val Acc=0.8333
Train Loss=0.3859, Train Acc=0.9676 | Val Loss=0.6754, Val Acc=0.8472
Train Loss=0.3698, Train Acc=0.9637 | Val Loss=0.6562, Val Acc=0.8403
Train Loss=0.3552, Train Acc=0.9716 | Val Loss=0.6655, Val Acc=0.8472
Train Loss=0.3389, Train Acc=0.9804 | Val Loss=0.6546, Val Acc=0.8333
Train Loss=0.3197, Train Acc=0.9814 | Val Loss=0.6371, Val Acc=0.8472
Train Loss=0.2940, Train Acc=0.9853 | Val Loss=0.6480, Val Acc=0.8472
Train Loss=0.2852, Train Acc=0.9814 | Val Loss=0.6555, Val Acc=0.8472
Train Loss=0.2826, Train Acc=0.9853 | Val Loss=0.6958, Val Acc=0.8056
Train Loss=0.2632, Train Acc=0.9912 | Val Loss=0.6477, Val Acc=0.8472
Train Loss=0.2515, Train Acc=0.9882 | Val Loss=0.6417, Val Acc=0.8403
Train Loss=0.2444, Train Acc=0.9902 | Val Loss=0.6361, Val Acc=0.8472
Train Loss=0.2385, Train Acc=0.9912 | Val Loss=0.6221, Val Acc=0.8472
Train Loss=0.2290, Train Acc=0.9902 | Val Loss=0.6433, Val Acc=0.8194
Train Loss=0.2277, Train Acc=0.9892 | Val Loss=0.6436, Val Acc=0.8333
Train Loss=0.2113, Train Acc=0.9941 | Val Loss=0.6300, Val Acc=0.8403
Train Loss=0.2080, Train Acc=0.9941 | Val Loss=0.6309, Val Acc=0.8611
Train Loss=0.1938, Train Acc=0.9941 | Val Loss=0.6362, Val Acc=0.8403
Train Loss=0.2022, Train Acc=0.9912 | Val Loss=0.6223, Val Acc=0.8472
Train Loss=0.1963, Train Acc=0.9941 | Val Loss=0.6017, Val Acc=0.8264
Train Loss=0.1871, Train Acc=0.9941 | Val Loss=0.5857, Val Acc=0.8472
Train Loss=0.1790, Train Acc=0.9971 | Val Loss=0.6256, Val Acc=0.8472
Train Loss=0.1801, Train Acc=0.9941 | Val Loss=0.6165, Val Acc=0.8333
Train Loss=0.1727, Train Acc=0.9961 | Val Loss=0.6276, Val Acc=0.8333
Train Loss=0.1611, Train Acc=0.9980 | Val Loss=0.6233, Val Acc=0.8403
Train Loss=0.1629, Train Acc=0.9980 | Val Loss=0.6156, Val Acc=0.8403
Train Loss=0.1584, Train Acc=0.9990 | Val Loss=0.6034, Val Acc=0.8333
Train Loss=0.1539, Train Acc=1.0000 | Val Loss=0.6037, Val Acc=0.8542
Train Loss=0.1483, Train Acc=0.9990 | Val Loss=0.5836, Val Acc=0.8472
Train Loss=0.1435, Train Acc=0.9990 | Val Loss=0.6001, Val Acc=0.8542
Train Loss=0.1430, Train Acc=0.9990 | Val Loss=0.5927, Val Acc=0.8403
Train Loss=0.1391, Train Acc=0.9990 | Val Loss=0.6105, Val Acc=0.8403
Train Loss=0.1432, Train Acc=1.0000 | Val Loss=0.6453, Val Acc=0.8333
Train Loss=0.1369, Train Acc=0.9990 | Val Loss=0.6136, Val Acc=0.8264
Train Loss=0.1322, Train Acc=0.9990 | Val Loss=0.5865, Val Acc=0.8542
Train Loss=0.1327, Train Acc=1.0000 | Val Loss=0.5808, Val Acc=0.8403
Train Loss=0.1265, Train Acc=1.0000 | Val Loss=0.6363, Val Acc=0.8542
Train Loss=0.1345, Train Acc=1.0000 | Val Loss=0.6129, Val Acc=0.8611
Train Loss=0.1258, Train Acc=1.0000 | Val Loss=0.5974, Val Acc=0.8611
