Train Loss=1.9949, Train Acc=0.2382 | Val Loss=1.9741, Val Acc=0.2361
Train Loss=1.8584, Train Acc=0.3843 | Val Loss=1.8155, Val Acc=0.4097
Train Loss=1.7462, Train Acc=0.4863 | Val Loss=1.7155, Val Acc=0.4653
Train Loss=1.6574, Train Acc=0.5235 | Val Loss=1.6274, Val Acc=0.4861
Train Loss=1.5551, Train Acc=0.5294 | Val Loss=1.5202, Val Acc=0.5278
Train Loss=1.4453, Train Acc=0.5765 | Val Loss=1.4344, Val Acc=0.5694
Train Loss=1.3547, Train Acc=0.6216 | Val Loss=1.3664, Val Acc=0.5347
Train Loss=1.2565, Train Acc=0.6500 | Val Loss=1.2485, Val Acc=0.5972
Train Loss=1.1543, Train Acc=0.6922 | Val Loss=1.1769, Val Acc=0.6806
Train Loss=1.0956, Train Acc=0.7206 | Val Loss=1.1554, Val Acc=0.6458
Train Loss=1.0230, Train Acc=0.7735 | Val Loss=1.0648, Val Acc=0.7222
Train Loss=0.9449, Train Acc=0.8049 | Val Loss=1.0273, Val Acc=0.7222
Train Loss=0.8725, Train Acc=0.8196 | Val Loss=0.9716, Val Acc=0.7500
Train Loss=0.8339, Train Acc=0.8451 | Val Loss=0.9379, Val Acc=0.7778
Train Loss=0.7800, Train Acc=0.8657 | Val Loss=0.8861, Val Acc=0.7708
Train Loss=0.7252, Train Acc=0.8843 | Val Loss=0.8883, Val Acc=0.7986
Train Loss=0.7040, Train Acc=0.8755 | Val Loss=0.8481, Val Acc=0.7778
Train Loss=0.6630, Train Acc=0.8882 | Val Loss=0.8137, Val Acc=0.8056
Train Loss=0.6206, Train Acc=0.9049 | Val Loss=0.7942, Val Acc=0.8056
Train Loss=0.5919, Train Acc=0.9137 | Val Loss=0.7868, Val Acc=0.7986
Train Loss=0.5512, Train Acc=0.9363 | Val Loss=0.7507, Val Acc=0.8333
Train Loss=0.5286, Train Acc=0.9373 | Val Loss=0.7693, Val Acc=0.7917
Train Loss=0.5022, Train Acc=0.9451 | Val Loss=0.7607, Val Acc=0.8333
Train Loss=0.4839, Train Acc=0.9461 | Val Loss=0.7133, Val Acc=0.8056
Train Loss=0.4589, Train Acc=0.9520 | Val Loss=0.6901, Val Acc=0.8333
Train Loss=0.4341, Train Acc=0.9608 | Val Loss=0.7139, Val Acc=0.8403
