Train Loss=1.8449, Train Acc=0.3137 | Val Loss=1.8570, Val Acc=0.3056
Train Loss=1.5477, Train Acc=0.4706 | Val Loss=1.4690, Val Acc=0.5417
Train Loss=1.2993, Train Acc=0.5784 | Val Loss=1.2791, Val Acc=0.5069
Train Loss=1.1285, Train Acc=0.6510 | Val Loss=1.0334, Val Acc=0.6667
Train Loss=0.9808, Train Acc=0.6980 | Val Loss=0.9234, Val Acc=0.7153
Train Loss=0.8606, Train Acc=0.7490 | Val Loss=0.9058, Val Acc=0.6667
Train Loss=0.7753, Train Acc=0.8000 | Val Loss=0.8117, Val Acc=0.7708
Train Loss=0.6696, Train Acc=0.8294 | Val Loss=0.7393, Val Acc=0.7847
Train Loss=0.6000, Train Acc=0.8510 | Val Loss=0.6712, Val Acc=0.8333
Train Loss=0.5737, Train Acc=0.8549 | Val Loss=0.7516, Val Acc=0.7708
Train Loss=0.4954, Train Acc=0.8863 | Val Loss=0.6067, Val Acc=0.8681
Train Loss=0.4254, Train Acc=0.9157 | Val Loss=0.6906, Val Acc=0.8333
Train Loss=0.3675, Train Acc=0.9412 | Val Loss=0.5805, Val Acc=0.8264
Train Loss=0.3142, Train Acc=0.9588 | Val Loss=0.5124, Val Acc=0.8819
Train Loss=0.2597, Train Acc=0.9696 | Val Loss=0.6865, Val Acc=0.7986
Train Loss=0.2348, Train Acc=0.9755 | Val Loss=0.5443, Val Acc=0.8681
Train Loss=0.2386, Train Acc=0.9686 | Val Loss=0.7932, Val Acc=0.7500
Train Loss=0.2280, Train Acc=0.9716 | Val Loss=0.5459, Val Acc=0.8542
Train Loss=0.2189, Train Acc=0.9706 | Val Loss=0.5998, Val Acc=0.8333
Train Loss=0.1984, Train Acc=0.9745 | Val Loss=0.5820, Val Acc=0.8542
Train Loss=0.2056, Train Acc=0.9735 | Val Loss=0.5713, Val Acc=0.8681
Train Loss=0.2276, Train Acc=0.9676 | Val Loss=0.8419, Val Acc=0.7569
Train Loss=0.1589, Train Acc=0.9931 | Val Loss=0.6049, Val Acc=0.8333
Train Loss=0.1430, Train Acc=0.9931 | Val Loss=0.6729, Val Acc=0.8472
Train Loss=0.1288, Train Acc=0.9971 | Val Loss=0.5060, Val Acc=0.8889
Train Loss=0.1038, Train Acc=0.9990 | Val Loss=0.4875, Val Acc=0.8472
Train Loss=0.0920, Train Acc=0.9990 | Val Loss=0.5121, Val Acc=0.8750
Train Loss=0.0882, Train Acc=0.9990 | Val Loss=0.5092, Val Acc=0.8681
Train Loss=0.0884, Train Acc=1.0000 | Val Loss=0.4403, Val Acc=0.8750
Train Loss=0.0766, Train Acc=1.0000 | Val Loss=0.4777, Val Acc=0.8472
Train Loss=0.0722, Train Acc=0.9990 | Val Loss=0.4448, Val Acc=0.8750
Train Loss=0.0671, Train Acc=1.0000 | Val Loss=0.4464, Val Acc=0.8611
Train Loss=0.0593, Train Acc=1.0000 | Val Loss=0.4218, Val Acc=0.8681
Train Loss=0.0573, Train Acc=1.0000 | Val Loss=0.4197, Val Acc=0.8542
Train Loss=0.0508, Train Acc=1.0000 | Val Loss=0.4395, Val Acc=0.8611
Train Loss=0.0499, Train Acc=1.0000 | Val Loss=0.4172, Val Acc=0.8819
Train Loss=0.0484, Train Acc=1.0000 | Val Loss=0.4255, Val Acc=0.8681
Train Loss=0.0468, Train Acc=1.0000 | Val Loss=0.4570, Val Acc=0.8611
Train Loss=0.0428, Train Acc=1.0000 | Val Loss=0.4062, Val Acc=0.8819
Train Loss=0.0423, Train Acc=1.0000 | Val Loss=0.4142, Val Acc=0.8889
Train Loss=0.0370, Train Acc=1.0000 | Val Loss=0.3909, Val Acc=0.8958
Train Loss=0.0345, Train Acc=1.0000 | Val Loss=0.4194, Val Acc=0.8750
Train Loss=0.0334, Train Acc=1.0000 | Val Loss=0.4127, Val Acc=0.8958
Train Loss=0.0303, Train Acc=1.0000 | Val Loss=0.3984, Val Acc=0.9028

Train Loss=0.0306, Train Acc=1.0000 | Val Loss=0.4031, Val Acc=0.8958
Train Loss=0.0298, Train Acc=1.0000 | Val Loss=0.3986, Val Acc=0.9028
Train Loss=0.0274, Train Acc=1.0000 | Val Loss=0.4016, Val Acc=0.8958
Train Loss=0.0262, Train Acc=1.0000 | Val Loss=0.4117, Val Acc=0.8819
Train Loss=0.0246, Train Acc=1.0000 | Val Loss=0.4292, Val Acc=0.8889
Train Loss=0.0241, Train Acc=1.0000 | Val Loss=0.4173, Val Acc=0.8958
Train Loss=0.0247, Train Acc=1.0000 | Val Loss=0.4090, Val Acc=0.8958
Train Loss=0.0217, Train Acc=1.0000 | Val Loss=0.3934, Val Acc=0.9028
Train Loss=0.0232, Train Acc=1.0000 | Val Loss=0.4194, Val Acc=0.9028
Train Loss=0.0217, Train Acc=1.0000 | Val Loss=0.4082, Val Acc=0.9097
Train Loss=0.0197, Train Acc=1.0000 | Val Loss=0.4301, Val Acc=0.8889
Train Loss=0.0212, Train Acc=1.0000 | Val Loss=0.4120, Val Acc=0.9028
Train Loss=0.0192, Train Acc=1.0000 | Val Loss=0.4325, Val Acc=0.8889
Train Loss=0.0197, Train Acc=1.0000 | Val Loss=0.4160, Val Acc=0.8889
Train Loss=0.0179, Train Acc=1.0000 | Val Loss=0.4221, Val Acc=0.9028
Train Loss=0.0189, Train Acc=1.0000 | Val Loss=0.4365, Val Acc=0.8958
Train Loss=0.0173, Train Acc=1.0000 | Val Loss=0.4331, Val Acc=0.8958
Train Loss=0.0172, Train Acc=1.0000 | Val Loss=0.4288, Val Acc=0.9028
Train Loss=0.0168, Train Acc=1.0000 | Val Loss=0.4219, Val Acc=0.9097
Train Loss=0.0162, Train Acc=1.0000 | Val Loss=0.4454, Val Acc=0.9028
Train Loss=0.0161, Train Acc=1.0000 | Val Loss=0.4648, Val Acc=0.8958
Train Loss=0.0158, Train Acc=1.0000 | Val Loss=0.4295, Val Acc=0.8958
Train Loss=0.0156, Train Acc=1.0000 | Val Loss=0.4301, Val Acc=0.9028
Train Loss=0.0151, Train Acc=1.0000 | Val Loss=0.4540, Val Acc=0.8958
Train Loss=0.0148, Train Acc=1.0000 | Val Loss=0.4555, Val Acc=0.9028
Train Loss=0.0143, Train Acc=1.0000 | Val Loss=0.4382, Val Acc=0.8958
