Train Loss=1.7053, Train Acc=0.3235 | Val Loss=1.7997, Val Acc=0.2153
Train Loss=1.3923, Train Acc=0.5186 | Val Loss=1.3347, Val Acc=0.4583
Train Loss=1.2063, Train Acc=0.5696 | Val Loss=1.1459, Val Acc=0.6458
Train Loss=1.0318, Train Acc=0.6598 | Val Loss=0.9630, Val Acc=0.7361
Train Loss=0.8730, Train Acc=0.7157 | Val Loss=0.8673, Val Acc=0.7569
Train Loss=0.7568, Train Acc=0.7676 | Val Loss=0.8213, Val Acc=0.7292
Train Loss=0.7043, Train Acc=0.7745 | Val Loss=0.7184, Val Acc=0.7639
Train Loss=0.5946, Train Acc=0.8363 | Val Loss=0.9035, Val Acc=0.6944
Train Loss=0.5312, Train Acc=0.8480 | Val Loss=0.6595, Val Acc=0.7847
Train Loss=0.4389, Train Acc=0.8922 | Val Loss=0.5818, Val Acc=0.8403
Train Loss=0.3745, Train Acc=0.9098 | Val Loss=0.5528, Val Acc=0.8194
Train Loss=0.3442, Train Acc=0.9167 | Val Loss=0.5372, Val Acc=0.8403
Train Loss=0.2955, Train Acc=0.9353 | Val Loss=0.6319, Val Acc=0.7778
Train Loss=0.2812, Train Acc=0.9353 | Val Loss=0.6011, Val Acc=0.7917
Train Loss=0.2215, Train Acc=0.9569 | Val Loss=0.6054, Val Acc=0.8056
Train Loss=0.2740, Train Acc=0.9333 | Val Loss=0.5475, Val Acc=0.8472
Train Loss=0.2206, Train Acc=0.9529 | Val Loss=0.6147, Val Acc=0.7847
Train Loss=0.2375, Train Acc=0.9382 | Val Loss=0.6405, Val Acc=0.8194
Train Loss=0.1866, Train Acc=0.9725 | Val Loss=0.6027, Val Acc=0.7986
Train Loss=0.1302, Train Acc=0.9892 | Val Loss=0.6788, Val Acc=0.7986
Train Loss=0.1004, Train Acc=0.9971 | Val Loss=0.6752, Val Acc=0.8056
Train Loss=0.0887, Train Acc=0.9961 | Val Loss=0.5968, Val Acc=0.8194
Train Loss=0.0838, Train Acc=0.9980 | Val Loss=0.6739, Val Acc=0.8056
Train Loss=0.0781, Train Acc=0.9980 | Val Loss=0.6132, Val Acc=0.8333
Train Loss=0.0742, Train Acc=0.9990 | Val Loss=0.6556, Val Acc=0.8125
Train Loss=0.0710, Train Acc=0.9990 | Val Loss=0.7076, Val Acc=0.8194
Train Loss=0.0665, Train Acc=1.0000 | Val Loss=0.6596, Val Acc=0.8333
Train Loss=0.0647, Train Acc=1.0000 | Val Loss=0.6826, Val Acc=0.8194
Train Loss=0.0607, Train Acc=1.0000 | Val Loss=0.6277, Val Acc=0.8125
Train Loss=0.0619, Train Acc=1.0000 | Val Loss=0.6746, Val Acc=0.8264
Train Loss=0.0577, Train Acc=1.0000 | Val Loss=0.6683, Val Acc=0.8125
Train Loss=0.0565, Train Acc=1.0000 | Val Loss=0.6522, Val Acc=0.8194
Train Loss=0.0558, Train Acc=1.0000 | Val Loss=0.6732, Val Acc=0.8333
Train Loss=0.0554, Train Acc=1.0000 | Val Loss=0.6625, Val Acc=0.8125
Train Loss=0.0525, Train Acc=1.0000 | Val Loss=0.6095, Val Acc=0.8403
Train Loss=0.0504, Train Acc=1.0000 | Val Loss=0.6994, Val Acc=0.8264
