Train Loss=1.6821, Train Acc=0.3679 | Val Loss=1.6306, Val Acc=0.4371
Train Loss=1.4979, Train Acc=0.4482 | Val Loss=1.5571, Val Acc=0.4719
Train Loss=1.4322, Train Acc=0.4797 | Val Loss=1.5082, Val Acc=0.4787
Train Loss=1.3749, Train Acc=0.5002 | Val Loss=1.5006, Val Acc=0.4798
Train Loss=1.3446, Train Acc=0.5145 | Val Loss=1.4568, Val Acc=0.5090
Train Loss=1.2914, Train Acc=0.5425 | Val Loss=1.4409, Val Acc=0.5157
Train Loss=1.2549, Train Acc=0.5588 | Val Loss=1.3955, Val Acc=0.5528
Train Loss=1.2159, Train Acc=0.5752 | Val Loss=1.3801, Val Acc=0.5438
Train Loss=1.1811, Train Acc=0.5959 | Val Loss=1.3905, Val Acc=0.5258
Train Loss=1.1504, Train Acc=0.6108 | Val Loss=1.3803, Val Acc=0.5371
Train Loss=1.1169, Train Acc=0.6211 | Val Loss=1.3340, Val Acc=0.5719
Train Loss=1.0970, Train Acc=0.6293 | Val Loss=1.3171, Val Acc=0.5685
Train Loss=1.0416, Train Acc=0.6546 | Val Loss=1.3115, Val Acc=0.5674
Train Loss=1.0145, Train Acc=0.6625 | Val Loss=1.5407, Val Acc=0.4629
Train Loss=0.9828, Train Acc=0.6810 | Val Loss=1.2811, Val Acc=0.5933
Train Loss=0.9304, Train Acc=0.6997 | Val Loss=1.2870, Val Acc=0.5865
Train Loss=0.8876, Train Acc=0.7231 | Val Loss=1.2995, Val Acc=0.5921
Train Loss=0.8741, Train Acc=0.7251 | Val Loss=1.3414, Val Acc=0.5640
Train Loss=0.8215, Train Acc=0.7530 | Val Loss=1.2731, Val Acc=0.6045
Train Loss=0.8016, Train Acc=0.7585 | Val Loss=1.3089, Val Acc=0.5865
Train Loss=0.7682, Train Acc=0.7715 | Val Loss=1.3054, Val Acc=0.6011
Train Loss=0.7175, Train Acc=0.7955 | Val Loss=1.5064, Val Acc=0.5124
Train Loss=0.6943, Train Acc=0.8058 | Val Loss=1.3537, Val Acc=0.5865
Train Loss=0.6484, Train Acc=0.8254 | Val Loss=1.3438, Val Acc=0.5944
Train Loss=0.6180, Train Acc=0.8322 | Val Loss=1.3536, Val Acc=0.5764
Train Loss=0.5730, Train Acc=0.8523 | Val Loss=1.4058, Val Acc=0.5865
Train Loss=0.5511, Train Acc=0.8615 | Val Loss=1.4830, Val Acc=0.5573
Train Loss=0.5165, Train Acc=0.8694 | Val Loss=1.4281, Val Acc=0.5798
Train Loss=0.4993, Train Acc=0.8812 | Val Loss=1.5012, Val Acc=0.5584
Train Loss=0.4594, Train Acc=0.8948 | Val Loss=1.4174, Val Acc=0.5966
Train Loss=0.4524, Train Acc=0.8929 | Val Loss=1.4498, Val Acc=0.5764
Train Loss=0.4050, Train Acc=0.9162 | Val Loss=1.5177, Val Acc=0.5708
Train Loss=0.4100, Train Acc=0.9133 | Val Loss=1.4891, Val Acc=0.5876
Train Loss=0.3521, Train Acc=0.9386 | Val Loss=1.5218, Val Acc=0.5921
Train Loss=0.3413, Train Acc=0.9396 | Val Loss=1.6112, Val Acc=0.5539
Train Loss=0.3281, Train Acc=0.9434 | Val Loss=1.5868, Val Acc=0.5742
Train Loss=0.3076, Train Acc=0.9505 | Val Loss=1.5671, Val Acc=0.5685
Train Loss=0.2807, Train Acc=0.9586 | Val Loss=1.6233, Val Acc=0.5719
Train Loss=0.2617, Train Acc=0.9669 | Val Loss=1.6830, Val Acc=0.5584
Train Loss=0.2586, Train Acc=0.9687 | Val Loss=1.6977, Val Acc=0.5764
Train Loss=0.2488, Train Acc=0.9706 | Val Loss=1.8185, Val Acc=0.5494
Train Loss=0.2708, Train Acc=0.9565 | Val Loss=1.8140, Val Acc=0.5494
Train Loss=0.2257, Train Acc=0.9771 | Val Loss=1.8014, Val Acc=0.5640
Train Loss=0.2078, Train Acc=0.9828 | Val Loss=1.7827, Val Acc=0.5449
Train Loss=0.2050, Train Acc=0.9826 | Val Loss=1.8518, Val Acc=0.5348
Train Loss=0.2112, Train Acc=0.9775 | Val Loss=1.7983, Val Acc=0.5742
Train Loss=0.1829, Train Acc=0.9894 | Val Loss=1.8506, Val Acc=0.5663
Train Loss=0.1907, Train Acc=0.9861 | Val Loss=1.8503, Val Acc=0.5640
Train Loss=0.1656, Train Acc=0.9927 | Val Loss=1.9866, Val Acc=0.5258
Train Loss=0.1841, Train Acc=0.9869 | Val Loss=1.9091, Val Acc=0.5652
Train Loss=0.1663, Train Acc=0.9905 | Val Loss=1.9617, Val Acc=0.5607
Train Loss=0.1563, Train Acc=0.9946 | Val Loss=1.9869, Val Acc=0.5562
Train Loss=0.1404, Train Acc=0.9967 | Val Loss=2.0391, Val Acc=0.5551
Train Loss=0.1387, Train Acc=0.9972 | Val Loss=2.0165, Val Acc=0.5562
Train Loss=0.1379, Train Acc=0.9953 | Val Loss=2.0408, Val Acc=0.5618
Train Loss=0.2496, Train Acc=0.9565 | Val Loss=1.9158, Val Acc=0.5685
Train Loss=0.1816, Train Acc=0.9826 | Val Loss=2.0409, Val Acc=0.5753
Train Loss=0.1380, Train Acc=0.9978 | Val Loss=2.0385, Val Acc=0.5596
Train Loss=0.1323, Train Acc=0.9979 | Val Loss=2.0524, Val Acc=0.5528
Train Loss=0.1295, Train Acc=0.9978 | Val Loss=2.1212, Val Acc=0.5629
Train Loss=0.1302, Train Acc=0.9979 | Val Loss=2.1616, Val Acc=0.5607
Train Loss=0.1246, Train Acc=0.9986 | Val Loss=2.1949, Val Acc=0.5517
Train Loss=0.1227, Train Acc=0.9987 | Val Loss=2.1697, Val Acc=0.5629
Train Loss=0.1240, Train Acc=0.9981 | Val Loss=2.1864, Val Acc=0.5506
Train Loss=0.1230, Train Acc=0.9989 | Val Loss=2.2151, Val Acc=0.5674
Train Loss=0.1177, Train Acc=0.9989 | Val Loss=2.2036, Val Acc=0.5584
Train Loss=0.1145, Train Acc=0.9991 | Val Loss=2.2446, Val Acc=0.5506
Train Loss=0.2150, Train Acc=0.9654 | Val Loss=2.3468, Val Acc=0.5112
Train Loss=0.2962, Train Acc=0.9363 | Val Loss=2.0199, Val Acc=0.5708
Train Loss=0.1288, Train Acc=0.9972 | Val Loss=2.1743, Val Acc=0.5685
Train Loss=0.1242, Train Acc=0.9975 | Val Loss=2.1791, Val Acc=0.5697
Train Loss=0.1167, Train Acc=0.9984 | Val Loss=2.1721, Val Acc=0.5697
