Train Loss=2.0198, Train Acc=0.3641 | Val Loss=2.1565, Val Acc=0.4281
Train Loss=1.8346, Train Acc=0.4392 | Val Loss=2.0680, Val Acc=0.4584
Train Loss=1.7682, Train Acc=0.4631 | Val Loss=1.9975, Val Acc=0.4562
Train Loss=1.6762, Train Acc=0.4885 | Val Loss=1.9533, Val Acc=0.4921
Train Loss=1.6347, Train Acc=0.5043 | Val Loss=1.9130, Val Acc=0.5157
Train Loss=1.5947, Train Acc=0.5176 | Val Loss=1.8770, Val Acc=0.5270
Train Loss=1.5344, Train Acc=0.5328 | Val Loss=1.8535, Val Acc=0.5247
Train Loss=1.5203, Train Acc=0.5463 | Val Loss=1.8242, Val Acc=0.5404
Train Loss=1.4730, Train Acc=0.5722 | Val Loss=1.8064, Val Acc=0.5674
Train Loss=1.4320, Train Acc=0.5795 | Val Loss=1.8226, Val Acc=0.5438
Train Loss=1.4132, Train Acc=0.5948 | Val Loss=1.7613, Val Acc=0.5652
Train Loss=1.3665, Train Acc=0.6087 | Val Loss=1.7943, Val Acc=0.5371
Train Loss=1.3561, Train Acc=0.6124 | Val Loss=1.7670, Val Acc=0.5753
Train Loss=1.3344, Train Acc=0.6276 | Val Loss=1.7424, Val Acc=0.5899
Train Loss=1.2650, Train Acc=0.6437 | Val Loss=1.7209, Val Acc=0.5910
Train Loss=1.2489, Train Acc=0.6567 | Val Loss=1.7153, Val Acc=0.5820
Train Loss=1.2285, Train Acc=0.6758 | Val Loss=1.7028, Val Acc=0.5865
Train Loss=1.1927, Train Acc=0.6813 | Val Loss=1.6855, Val Acc=0.5944
Train Loss=1.1581, Train Acc=0.6995 | Val Loss=1.7337, Val Acc=0.5899
Train Loss=1.1391, Train Acc=0.7073 | Val Loss=1.6910, Val Acc=0.5933
Train Loss=1.1097, Train Acc=0.7169 | Val Loss=1.6794, Val Acc=0.5944
Train Loss=1.0542, Train Acc=0.7392 | Val Loss=1.6920, Val Acc=0.6011
Train Loss=1.0515, Train Acc=0.7402 | Val Loss=1.6862, Val Acc=0.6022
Train Loss=1.0138, Train Acc=0.7593 | Val Loss=1.6984, Val Acc=0.6056
Train Loss=1.0031, Train Acc=0.7555 | Val Loss=1.6776, Val Acc=0.6011
Train Loss=0.9466, Train Acc=0.7799 | Val Loss=1.6593, Val Acc=0.6079
Train Loss=0.9366, Train Acc=0.7938 | Val Loss=1.6997, Val Acc=0.5910
Train Loss=0.8804, Train Acc=0.8110 | Val Loss=1.6727, Val Acc=0.6079
Train Loss=0.8843, Train Acc=0.8154 | Val Loss=1.7252, Val Acc=0.5809
Train Loss=0.8382, Train Acc=0.8214 | Val Loss=1.7251, Val Acc=0.6034
Train Loss=0.7986, Train Acc=0.8403 | Val Loss=1.7062, Val Acc=0.5978
Train Loss=0.8107, Train Acc=0.8455 | Val Loss=1.7119, Val Acc=0.6146
Train Loss=0.7727, Train Acc=0.8635 | Val Loss=1.7372, Val Acc=0.5955
Train Loss=0.7574, Train Acc=0.8709 | Val Loss=1.7209, Val Acc=0.6169
Train Loss=0.7250, Train Acc=0.8735 | Val Loss=1.7370, Val Acc=0.6090
Train Loss=0.7102, Train Acc=0.8833 | Val Loss=1.7600, Val Acc=0.5787
Train Loss=0.6414, Train Acc=0.9012 | Val Loss=1.7728, Val Acc=0.6011
Train Loss=0.6578, Train Acc=0.9054 | Val Loss=1.8216, Val Acc=0.5775
Train Loss=0.6430, Train Acc=0.8989 | Val Loss=1.8058, Val Acc=0.5910
Train Loss=0.6251, Train Acc=0.9157 | Val Loss=1.8047, Val Acc=0.5854
Train Loss=0.5855, Train Acc=0.9220 | Val Loss=1.8221, Val Acc=0.5876
Train Loss=0.5678, Train Acc=0.9353 | Val Loss=1.8426, Val Acc=0.5888
Train Loss=0.5551, Train Acc=0.9378 | Val Loss=1.8575, Val Acc=0.5921
Train Loss=0.5529, Train Acc=0.9458 | Val Loss=1.8702, Val Acc=0.5989
Train Loss=0.5339, Train Acc=0.9497 | Val Loss=1.8788, Val Acc=0.5843
Train Loss=0.5107, Train Acc=0.9556 | Val Loss=1.9551, Val Acc=0.5685
Train Loss=0.5046, Train Acc=0.9548 | Val Loss=1.9047, Val Acc=0.5820
Train Loss=0.4914, Train Acc=0.9620 | Val Loss=1.9844, Val Acc=0.5584
Train Loss=0.4729, Train Acc=0.9676 | Val Loss=1.9452, Val Acc=0.5910
Train Loss=0.4685, Train Acc=0.9643 | Val Loss=1.9404, Val Acc=0.5831
Train Loss=0.4448, Train Acc=0.9715 | Val Loss=1.9827, Val Acc=0.5944
Train Loss=0.4449, Train Acc=0.9730 | Val Loss=2.0777, Val Acc=0.5764
Train Loss=0.4342, Train Acc=0.9714 | Val Loss=2.0080, Val Acc=0.5753
Train Loss=0.4581, Train Acc=0.9707 | Val Loss=1.9939, Val Acc=0.5899
Train Loss=0.4126, Train Acc=0.9793 | Val Loss=2.0025, Val Acc=0.5910
Train Loss=0.4155, Train Acc=0.9839 | Val Loss=2.0469, Val Acc=0.6022
Train Loss=0.4021, Train Acc=0.9847 | Val Loss=2.0627, Val Acc=0.5798
Train Loss=0.3952, Train Acc=0.9837 | Val Loss=2.2939, Val Acc=0.5517
Train Loss=0.4204, Train Acc=0.9834 | Val Loss=2.0273, Val Acc=0.5865
Train Loss=0.3704, Train Acc=0.9913 | Val Loss=2.1012, Val Acc=0.5663
Train Loss=0.3850, Train Acc=0.9859 | Val Loss=2.1096, Val Acc=0.5809
Train Loss=0.3777, Train Acc=0.9911 | Val Loss=2.1842, Val Acc=0.5528
Train Loss=0.3717, Train Acc=0.9923 | Val Loss=2.0997, Val Acc=0.5899
Train Loss=0.3624, Train Acc=0.9935 | Val Loss=2.2044, Val Acc=0.5618
Train Loss=0.3711, Train Acc=0.9923 | Val Loss=2.1614, Val Acc=0.5708
Train Loss=0.3829, Train Acc=0.9809 | Val Loss=2.1339, Val Acc=0.5775
Train Loss=0.3566, Train Acc=0.9919 | Val Loss=2.2468, Val Acc=0.5944
Train Loss=0.3638, Train Acc=0.9908 | Val Loss=2.1566, Val Acc=0.5753
Train Loss=0.3727, Train Acc=0.9842 | Val Loss=2.2440, Val Acc=0.5787
Train Loss=0.3504, Train Acc=0.9910 | Val Loss=2.1757, Val Acc=0.5831
Train Loss=0.3421, Train Acc=0.9965 | Val Loss=2.2455, Val Acc=0.5764
Train Loss=0.3544, Train Acc=0.9926 | Val Loss=2.2775, Val Acc=0.5697
Train Loss=0.3562, Train Acc=0.9867 | Val Loss=2.2015, Val Acc=0.5978
Train Loss=0.3823, Train Acc=0.9820 | Val Loss=2.2064, Val Acc=0.5798
Train Loss=0.3173, Train Acc=0.9951 | Val Loss=2.2647, Val Acc=0.5685
Train Loss=0.3311, Train Acc=0.9975 | Val Loss=2.2083, Val Acc=0.5888
Train Loss=0.3368, Train Acc=0.9927 | Val Loss=2.3202, Val Acc=0.5708
Train Loss=0.3223, Train Acc=0.9964 | Val Loss=2.2047, Val Acc=0.5798
Train Loss=0.3119, Train Acc=0.9972 | Val Loss=2.2027, Val Acc=0.5843
