Train Loss=1.9160, Train Acc=0.3815 | Val Loss=2.1281, Val Acc=0.4449
Train Loss=1.7499, Train Acc=0.4719 | Val Loss=2.0379, Val Acc=0.4629
Train Loss=1.6445, Train Acc=0.5042 | Val Loss=2.0256, Val Acc=0.4708
Train Loss=1.6075, Train Acc=0.5118 | Val Loss=1.9704, Val Acc=0.4787
Train Loss=1.5315, Train Acc=0.5401 | Val Loss=1.8889, Val Acc=0.5202
Train Loss=1.5022, Train Acc=0.5539 | Val Loss=1.9446, Val Acc=0.4831
Train Loss=1.4547, Train Acc=0.5719 | Val Loss=1.8532, Val Acc=0.5079
Train Loss=1.4175, Train Acc=0.5735 | Val Loss=1.7527, Val Acc=0.5764
Train Loss=1.3561, Train Acc=0.6103 | Val Loss=1.7332, Val Acc=0.5753
Train Loss=1.3036, Train Acc=0.6261 | Val Loss=1.6698, Val Acc=0.5876
Train Loss=1.2723, Train Acc=0.6342 | Val Loss=1.7717, Val Acc=0.5674
Train Loss=1.2239, Train Acc=0.6663 | Val Loss=1.7039, Val Acc=0.5753
Train Loss=1.1576, Train Acc=0.6737 | Val Loss=1.6395, Val Acc=0.5978
Train Loss=1.0974, Train Acc=0.7006 | Val Loss=1.8053, Val Acc=0.5337
Train Loss=1.0534, Train Acc=0.7201 | Val Loss=1.7081, Val Acc=0.5831
Train Loss=0.9961, Train Acc=0.7370 | Val Loss=1.6274, Val Acc=0.5966
Train Loss=0.9234, Train Acc=0.7648 | Val Loss=1.6892, Val Acc=0.6000
Train Loss=0.9184, Train Acc=0.7727 | Val Loss=1.6291, Val Acc=0.6135
Train Loss=0.8585, Train Acc=0.7954 | Val Loss=1.6218, Val Acc=0.6191
Train Loss=0.7820, Train Acc=0.8235 | Val Loss=1.6577, Val Acc=0.6090
Train Loss=0.7215, Train Acc=0.8496 | Val Loss=1.8262, Val Acc=0.5865
Train Loss=0.6801, Train Acc=0.8676 | Val Loss=1.6864, Val Acc=0.6034
Train Loss=0.5861, Train Acc=0.8932 | Val Loss=1.6421, Val Acc=0.6292
Train Loss=0.5662, Train Acc=0.9130 | Val Loss=1.7196, Val Acc=0.6315
Train Loss=0.5264, Train Acc=0.9233 | Val Loss=1.7866, Val Acc=0.6022
Train Loss=0.4897, Train Acc=0.9322 | Val Loss=1.9196, Val Acc=0.5989
Train Loss=0.4424, Train Acc=0.9505 | Val Loss=1.7629, Val Acc=0.6292
Train Loss=0.4116, Train Acc=0.9568 | Val Loss=1.7458, Val Acc=0.6483

Train Loss=0.3943, Train Acc=0.9679 | Val Loss=1.8460, Val Acc=0.6146
Train Loss=0.3831, Train Acc=0.9703 | Val Loss=1.9254, Val Acc=0.6000
Train Loss=0.3700, Train Acc=0.9782 | Val Loss=1.8620, Val Acc=0.6169
Train Loss=0.3390, Train Acc=0.9839 | Val Loss=2.0137, Val Acc=0.5978
Train Loss=0.3192, Train Acc=0.9861 | Val Loss=1.9417, Val Acc=0.6169
Train Loss=0.3060, Train Acc=0.9930 | Val Loss=1.9350, Val Acc=0.6112
Train Loss=0.3049, Train Acc=0.9913 | Val Loss=2.0705, Val Acc=0.5933
Train Loss=0.3099, Train Acc=0.9867 | Val Loss=2.1218, Val Acc=0.5899
Train Loss=0.2841, Train Acc=0.9938 | Val Loss=2.0160, Val Acc=0.6225
Train Loss=0.3060, Train Acc=0.9866 | Val Loss=2.2589, Val Acc=0.5854
Train Loss=0.3202, Train Acc=0.9845 | Val Loss=2.0468, Val Acc=0.6202
Train Loss=0.3078, Train Acc=0.9888 | Val Loss=2.0442, Val Acc=0.6236
Train Loss=0.2801, Train Acc=0.9935 | Val Loss=2.0957, Val Acc=0.6236
Train Loss=0.2928, Train Acc=0.9902 | Val Loss=2.0824, Val Acc=0.6034
Train Loss=0.2832, Train Acc=0.9899 | Val Loss=2.0894, Val Acc=0.6292
Train Loss=0.2532, Train Acc=0.9940 | Val Loss=2.0796, Val Acc=0.6281
Train Loss=0.2633, Train Acc=0.9938 | Val Loss=2.1927, Val Acc=0.6191
Train Loss=0.2535, Train Acc=0.9960 | Val Loss=2.3505, Val Acc=0.5809
Train Loss=0.2543, Train Acc=0.9964 | Val Loss=2.1739, Val Acc=0.6213
Train Loss=0.2771, Train Acc=0.9866 | Val Loss=2.1564, Val Acc=0.5910
Train Loss=0.3239, Train Acc=0.9676 | Val Loss=2.1618, Val Acc=0.6236
Train Loss=0.2808, Train Acc=0.9872 | Val Loss=2.2786, Val Acc=0.5764
Train Loss=0.2466, Train Acc=0.9957 | Val Loss=2.1702, Val Acc=0.6135
Train Loss=0.2362, Train Acc=0.9972 | Val Loss=2.4039, Val Acc=0.5562
Train Loss=0.2458, Train Acc=0.9970 | Val Loss=2.2978, Val Acc=0.5865
Train Loss=0.2559, Train Acc=0.9935 | Val Loss=2.2569, Val Acc=0.5876
Train Loss=0.2564, Train Acc=0.9899 | Val Loss=2.1878, Val Acc=0.6000
Train Loss=0.2379, Train Acc=0.9965 | Val Loss=2.1910, Val Acc=0.6135
Train Loss=0.2339, Train Acc=0.9975 | Val Loss=2.2608, Val Acc=0.6079
Train Loss=0.2485, Train Acc=0.9930 | Val Loss=2.2806, Val Acc=0.5888
Train Loss=0.2228, Train Acc=0.9964 | Val Loss=2.2555, Val Acc=0.6045
Train Loss=0.2264, Train Acc=0.9960 | Val Loss=2.3326, Val Acc=0.5798
Train Loss=0.2148, Train Acc=0.9957 | Val Loss=2.3913, Val Acc=0.5955
Train Loss=0.2233, Train Acc=0.9970 | Val Loss=2.4031, Val Acc=0.5899
Train Loss=0.2224, Train Acc=0.9967 | Val Loss=2.2898, Val Acc=0.5888
Train Loss=0.2155, Train Acc=0.9960 | Val Loss=2.2141, Val Acc=0.6258
Train Loss=0.2102, Train Acc=0.9954 | Val Loss=2.3590, Val Acc=0.5831
Train Loss=0.2278, Train Acc=0.9960 | Val Loss=2.3813, Val Acc=0.6090
Train Loss=0.2194, Train Acc=0.9954 | Val Loss=2.2302, Val Acc=0.6236
Train Loss=0.2282, Train Acc=0.9934 | Val Loss=2.2637, Val Acc=0.5865
Train Loss=0.2022, Train Acc=0.9965 | Val Loss=2.1859, Val Acc=0.6045
Train Loss=0.2077, Train Acc=0.9973 | Val Loss=2.4417, Val Acc=0.5966
