Train Loss=1.6864, Train Acc=0.4023 | Val Loss=1.8299, Val Acc=0.3933
Train Loss=1.5292, Train Acc=0.4843 | Val Loss=1.7721, Val Acc=0.4157
Train Loss=1.4500, Train Acc=0.5162 | Val Loss=1.5981, Val Acc=0.5360
Train Loss=1.3701, Train Acc=0.5504 | Val Loss=1.6127, Val Acc=0.5202
Train Loss=1.3284, Train Acc=0.5651 | Val Loss=1.4921, Val Acc=0.5899
Train Loss=1.2651, Train Acc=0.5909 | Val Loss=1.6094, Val Acc=0.5337
Train Loss=1.2185, Train Acc=0.6117 | Val Loss=1.5978, Val Acc=0.5539
Train Loss=1.1806, Train Acc=0.6285 | Val Loss=1.4428, Val Acc=0.5978
Train Loss=1.1170, Train Acc=0.6478 | Val Loss=1.5079, Val Acc=0.5697
Train Loss=1.0787, Train Acc=0.6704 | Val Loss=1.6111, Val Acc=0.5191
Train Loss=1.0044, Train Acc=0.6951 | Val Loss=1.4095, Val Acc=0.6067
Train Loss=0.9662, Train Acc=0.7144 | Val Loss=1.3915, Val Acc=0.6180
Train Loss=0.9083, Train Acc=0.7354 | Val Loss=1.4605, Val Acc=0.5876
Train Loss=0.8681, Train Acc=0.7563 | Val Loss=1.5151, Val Acc=0.5573
Train Loss=0.8054, Train Acc=0.7849 | Val Loss=1.3732, Val Acc=0.6213
Train Loss=0.7366, Train Acc=0.8064 | Val Loss=1.4383, Val Acc=0.6303
Train Loss=0.6791, Train Acc=0.8297 | Val Loss=1.3950, Val Acc=0.6371
Train Loss=0.6181, Train Acc=0.8592 | Val Loss=1.4373, Val Acc=0.6056
Train Loss=0.5475, Train Acc=0.8762 | Val Loss=1.4183, Val Acc=0.6281
Train Loss=0.4893, Train Acc=0.9027 | Val Loss=1.4643, Val Acc=0.6191
Train Loss=0.4449, Train Acc=0.9197 | Val Loss=1.6387, Val Acc=0.5685
Train Loss=0.4051, Train Acc=0.9372 | Val Loss=1.6202, Val Acc=0.6045
Train Loss=0.3402, Train Acc=0.9549 | Val Loss=1.6388, Val Acc=0.6124
Train Loss=0.3222, Train Acc=0.9662 | Val Loss=1.7096, Val Acc=0.6079
Train Loss=0.3123, Train Acc=0.9650 | Val Loss=1.7517, Val Acc=0.6034
Train Loss=0.3029, Train Acc=0.9707 | Val Loss=1.8138, Val Acc=0.6045
Train Loss=0.2867, Train Acc=0.9772 | Val Loss=1.7919, Val Acc=0.6191
Train Loss=0.2930, Train Acc=0.9700 | Val Loss=1.8202, Val Acc=0.6124
Train Loss=0.2558, Train Acc=0.9836 | Val Loss=1.7687, Val Acc=0.6449
Train Loss=0.2355, Train Acc=0.9899 | Val Loss=1.8432, Val Acc=0.6337
Train Loss=0.2235, Train Acc=0.9935 | Val Loss=1.9024, Val Acc=0.6326
Train Loss=0.2310, Train Acc=0.9878 | Val Loss=1.8796, Val Acc=0.6146
Train Loss=0.2244, Train Acc=0.9913 | Val Loss=2.0881, Val Acc=0.5966
Train Loss=0.2343, Train Acc=0.9859 | Val Loss=1.8499, Val Acc=0.6337
Train Loss=0.2305, Train Acc=0.9877 | Val Loss=2.0476, Val Acc=0.5989
Train Loss=0.1983, Train Acc=0.9973 | Val Loss=1.9760, Val Acc=0.6247
Train Loss=0.1866, Train Acc=0.9981 | Val Loss=2.0372, Val Acc=0.6112
Train Loss=0.1881, Train Acc=0.9989 | Val Loss=1.8576, Val Acc=0.6427
Train Loss=0.1763, Train Acc=0.9983 | Val Loss=1.8513, Val Acc=0.6303
Train Loss=0.1822, Train Acc=0.9972 | Val Loss=2.0092, Val Acc=0.6034
Train Loss=0.1956, Train Acc=0.9964 | Val Loss=2.4643, Val Acc=0.5472
Train Loss=0.3365, Train Acc=0.9458 | Val Loss=1.8770, Val Acc=0.6236
Train Loss=0.2419, Train Acc=0.9820 | Val Loss=2.1913, Val Acc=0.5944
Train Loss=0.2074, Train Acc=0.9916 | Val Loss=2.0746, Val Acc=0.6045
Train Loss=0.2238, Train Acc=0.9842 | Val Loss=1.9786, Val Acc=0.6112
Train Loss=0.2213, Train Acc=0.9880 | Val Loss=2.3830, Val Acc=0.5573
Train Loss=0.1959, Train Acc=0.9943 | Val Loss=2.0681, Val Acc=0.6258
Train Loss=0.1795, Train Acc=0.9973 | Val Loss=1.9982, Val Acc=0.6146
Train Loss=0.1791, Train Acc=0.9951 | Val Loss=1.9664, Val Acc=0.6281
Train Loss=0.1826, Train Acc=0.9981 | Val Loss=2.0582, Val Acc=0.6404
Train Loss=0.1748, Train Acc=0.9987 | Val Loss=1.9517, Val Acc=0.6270
Train Loss=0.1734, Train Acc=0.9987 | Val Loss=1.8708, Val Acc=0.6494

Train Loss=0.1759, Train Acc=0.9984 | Val Loss=1.9525, Val Acc=0.6472
Train Loss=0.1664, Train Acc=0.9979 | Val Loss=1.9945, Val Acc=0.6360
Train Loss=0.1776, Train Acc=0.9975 | Val Loss=2.0963, Val Acc=0.6169
Train Loss=0.2175, Train Acc=0.9829 | Val Loss=2.2397, Val Acc=0.6146
Train Loss=0.2641, Train Acc=0.9665 | Val Loss=2.1068, Val Acc=0.6067
Train Loss=0.1959, Train Acc=0.9904 | Val Loss=2.0510, Val Acc=0.6169
Train Loss=0.1731, Train Acc=0.9965 | Val Loss=2.2223, Val Acc=0.6146
Train Loss=0.1925, Train Acc=0.9918 | Val Loss=2.0922, Val Acc=0.6112
Train Loss=0.2284, Train Acc=0.9817 | Val Loss=2.0432, Val Acc=0.6258
Train Loss=0.1920, Train Acc=0.9932 | Val Loss=2.1613, Val Acc=0.6112
Train Loss=0.1674, Train Acc=0.9987 | Val Loss=2.0656, Val Acc=0.6382
Train Loss=0.1661, Train Acc=0.9989 | Val Loss=2.0535, Val Acc=0.6270
Train Loss=0.1796, Train Acc=0.9937 | Val Loss=2.5288, Val Acc=0.5506
Train Loss=0.1727, Train Acc=0.9984 | Val Loss=1.9870, Val Acc=0.6596
Train Loss=0.1598, Train Acc=0.9992 | Val Loss=1.9987, Val Acc=0.6270
Train Loss=0.1574, Train Acc=0.9986 | Val Loss=1.9859, Val Acc=0.6281
Train Loss=0.1682, Train Acc=0.9989 | Val Loss=2.0319, Val Acc=0.6225
Train Loss=0.1576, Train Acc=0.9983 | Val Loss=2.1711, Val Acc=0.5921
