Train Loss=1.5688, Train Acc=0.4044 | Val Loss=1.5858, Val Acc=0.4382
Train Loss=1.4007, Train Acc=0.4854 | Val Loss=1.4366, Val Acc=0.5169
Train Loss=1.3095, Train Acc=0.5292 | Val Loss=1.4740, Val Acc=0.5034
Train Loss=1.2495, Train Acc=0.5638 | Val Loss=1.3477, Val Acc=0.5753
Train Loss=1.1844, Train Acc=0.5852 | Val Loss=1.3875, Val Acc=0.5438
Train Loss=1.1238, Train Acc=0.6071 | Val Loss=1.4726, Val Acc=0.5292
Train Loss=1.0773, Train Acc=0.6331 | Val Loss=1.4495, Val Acc=0.5315
Train Loss=1.0363, Train Acc=0.6494 | Val Loss=1.3567, Val Acc=0.5798
Train Loss=0.9790, Train Acc=0.6709 | Val Loss=1.2647, Val Acc=0.6045
Train Loss=0.9126, Train Acc=0.7038 | Val Loss=1.2858, Val Acc=0.6090
Train Loss=0.8426, Train Acc=0.7324 | Val Loss=1.3613, Val Acc=0.5798
Train Loss=0.7923, Train Acc=0.7473 | Val Loss=1.2553, Val Acc=0.6146
Train Loss=0.7400, Train Acc=0.7727 | Val Loss=1.2523, Val Acc=0.6236
Train Loss=0.6853, Train Acc=0.7895 | Val Loss=1.2436, Val Acc=0.6157
Train Loss=0.6024, Train Acc=0.8290 | Val Loss=1.2449, Val Acc=0.6303
Train Loss=0.5471, Train Acc=0.8490 | Val Loss=1.4091, Val Acc=0.5966
Train Loss=0.4975, Train Acc=0.8705 | Val Loss=1.3737, Val Acc=0.6157
Train Loss=0.4275, Train Acc=0.8967 | Val Loss=1.5238, Val Acc=0.5843
Train Loss=0.3733, Train Acc=0.9149 | Val Loss=1.3897, Val Acc=0.6472
Train Loss=0.3032, Train Acc=0.9465 | Val Loss=1.5946, Val Acc=0.6124
Train Loss=0.2630, Train Acc=0.9594 | Val Loss=1.4777, Val Acc=0.6348
Train Loss=0.2117, Train Acc=0.9761 | Val Loss=1.5786, Val Acc=0.6213
Train Loss=0.3021, Train Acc=0.9380 | Val Loss=1.5836, Val Acc=0.6180
Train Loss=0.1938, Train Acc=0.9812 | Val Loss=1.6771, Val Acc=0.6191
Train Loss=0.1828, Train Acc=0.9842 | Val Loss=1.8130, Val Acc=0.5921
Train Loss=0.1791, Train Acc=0.9861 | Val Loss=1.8235, Val Acc=0.6034
Train Loss=0.1425, Train Acc=0.9938 | Val Loss=1.8452, Val Acc=0.6135
Train Loss=0.1511, Train Acc=0.9899 | Val Loss=1.8882, Val Acc=0.6090
Train Loss=0.2374, Train Acc=0.9594 | Val Loss=1.7955, Val Acc=0.6236
Train Loss=0.1714, Train Acc=0.9850 | Val Loss=1.9220, Val Acc=0.6236
Train Loss=0.1385, Train Acc=0.9946 | Val Loss=1.8273, Val Acc=0.6270
Train Loss=0.1635, Train Acc=0.9861 | Val Loss=1.8554, Val Acc=0.6337
Train Loss=0.1669, Train Acc=0.9810 | Val Loss=1.7953, Val Acc=0.6236
Train Loss=0.1297, Train Acc=0.9973 | Val Loss=1.9612, Val Acc=0.6360
Train Loss=0.1554, Train Acc=0.9873 | Val Loss=1.8292, Val Acc=0.6382
Train Loss=0.1552, Train Acc=0.9894 | Val Loss=2.2216, Val Acc=0.5607
Train Loss=0.1954, Train Acc=0.9736 | Val Loss=2.0807, Val Acc=0.5865
Train Loss=0.1510, Train Acc=0.9888 | Val Loss=2.0285, Val Acc=0.6213
Train Loss=0.1150, Train Acc=0.9987 | Val Loss=1.9498, Val Acc=0.6270
Train Loss=0.1100, Train Acc=0.9992 | Val Loss=1.9462, Val Acc=0.6281
Train Loss=0.1114, Train Acc=0.9995 | Val Loss=1.9335, Val Acc=0.6247
Train Loss=0.1093, Train Acc=0.9992 | Val Loss=1.9605, Val Acc=0.6337
Train Loss=0.1104, Train Acc=0.9987 | Val Loss=2.0164, Val Acc=0.6258
Train Loss=0.1070, Train Acc=0.9992 | Val Loss=2.0005, Val Acc=0.6247
Train Loss=0.1049, Train Acc=0.9992 | Val Loss=1.9971, Val Acc=0.6281
Train Loss=0.1054, Train Acc=0.9991 | Val Loss=2.0259, Val Acc=0.6258
Train Loss=0.1161, Train Acc=0.9981 | Val Loss=2.0534, Val Acc=0.6247
Train Loss=0.2301, Train Acc=0.9549 | Val Loss=1.9409, Val Acc=0.5775
