Train Loss=1.7416, Train Acc=0.3725 | Val Loss=1.9357, Val Acc=0.2459
Train Loss=1.3549, Train Acc=0.5565 | Val Loss=1.4154, Val Acc=0.4754
Train Loss=1.2220, Train Acc=0.5743 | Val Loss=1.3223, Val Acc=0.5410
Train Loss=1.1365, Train Acc=0.6497 | Val Loss=1.2456, Val Acc=0.5410
Train Loss=1.0291, Train Acc=0.6807 | Val Loss=1.0192, Val Acc=0.7541
Train Loss=0.9792, Train Acc=0.7095 | Val Loss=1.0736, Val Acc=0.6066
Train Loss=0.9328, Train Acc=0.7073 | Val Loss=0.9044, Val Acc=0.7705
Train Loss=0.8595, Train Acc=0.7694 | Val Loss=0.8742, Val Acc=0.8197
Train Loss=0.8478, Train Acc=0.7450 | Val Loss=1.0095, Val Acc=0.6393
Train Loss=0.7843, Train Acc=0.7539 | Val Loss=0.9741, Val Acc=0.6721
Train Loss=0.7296, Train Acc=0.8160 | Val Loss=0.9713, Val Acc=0.6393
Train Loss=0.6510, Train Acc=0.8492 | Val Loss=0.8073, Val Acc=0.7213
Train Loss=0.6237, Train Acc=0.8470 | Val Loss=0.8059, Val Acc=0.7377
Train Loss=0.5996, Train Acc=0.8426 | Val Loss=0.7540, Val Acc=0.8033
Train Loss=0.5165, Train Acc=0.8758 | Val Loss=0.8305, Val Acc=0.6885
Train Loss=0.4921, Train Acc=0.8914 | Val Loss=0.8516, Val Acc=0.7213
Train Loss=0.4788, Train Acc=0.8980 | Val Loss=0.6762, Val Acc=0.8197
Train Loss=0.6643, Train Acc=0.7694 | Val Loss=0.8775, Val Acc=0.7377
Train Loss=0.5509, Train Acc=0.8891 | Val Loss=0.8048, Val Acc=0.7377
Train Loss=0.4886, Train Acc=0.8958 | Val Loss=0.7610, Val Acc=0.7705
Train Loss=0.4401, Train Acc=0.9157 | Val Loss=0.7714, Val Acc=0.7377
Train Loss=0.3875, Train Acc=0.9424 | Val Loss=0.6228, Val Acc=0.8197
Train Loss=0.4554, Train Acc=0.8847 | Val Loss=0.7396, Val Acc=0.7541
Train Loss=0.4374, Train Acc=0.9113 | Val Loss=0.7530, Val Acc=0.6885
Train Loss=0.5118, Train Acc=0.8647 | Val Loss=0.7365, Val Acc=0.8033
Train Loss=0.4836, Train Acc=0.8803 | Val Loss=0.7033, Val Acc=0.7869
Train Loss=0.3831, Train Acc=0.9424 | Val Loss=0.6449, Val Acc=0.8197
Train Loss=0.3596, Train Acc=0.9401 | Val Loss=0.6357, Val Acc=0.8361
Train Loss=0.3048, Train Acc=0.9667 | Val Loss=0.5691, Val Acc=0.8525
Train Loss=0.2870, Train Acc=0.9712 | Val Loss=0.6872, Val Acc=0.8033
Train Loss=0.2603, Train Acc=0.9823 | Val Loss=0.6689, Val Acc=0.8033
Train Loss=0.2226, Train Acc=0.9889 | Val Loss=0.6707, Val Acc=0.8361
Train Loss=0.2136, Train Acc=0.9911 | Val Loss=0.6300, Val Acc=0.8033
Train Loss=0.3048, Train Acc=0.9268 | Val Loss=0.6793, Val Acc=0.7213
Train Loss=0.3285, Train Acc=0.9313 | Val Loss=0.8230, Val Acc=0.7213
Train Loss=0.4788, Train Acc=0.8692 | Val Loss=0.8385, Val Acc=0.6885
Train Loss=0.4005, Train Acc=0.9135 | Val Loss=0.6777, Val Acc=0.7705
Train Loss=0.4041, Train Acc=0.9091 | Val Loss=0.6906, Val Acc=0.8033
Train Loss=0.4208, Train Acc=0.8758 | Val Loss=0.7801, Val Acc=0.7377
Train Loss=0.3160, Train Acc=0.9645 | Val Loss=0.7553, Val Acc=0.7213
Train Loss=0.2662, Train Acc=0.9712 | Val Loss=0.5560, Val Acc=0.8197
Train Loss=0.2255, Train Acc=0.9756 | Val Loss=0.7199, Val Acc=0.7541
Train Loss=0.1935, Train Acc=0.9933 | Val Loss=0.6171, Val Acc=0.8033
