Train Loss=2.1063, Train Acc=0.3282 | Val Loss=2.3405, Val Acc=0.2459
Train Loss=1.7763, Train Acc=0.5255 | Val Loss=1.8745, Val Acc=0.3934
Train Loss=1.5457, Train Acc=0.5410 | Val Loss=1.5569, Val Acc=0.6230
Train Loss=1.4122, Train Acc=0.6652 | Val Loss=1.4136, Val Acc=0.6230
Train Loss=1.3112, Train Acc=0.6962 | Val Loss=1.3115, Val Acc=0.7049
Train Loss=1.2500, Train Acc=0.7295 | Val Loss=1.2930, Val Acc=0.6393
Train Loss=1.1678, Train Acc=0.6940 | Val Loss=1.2331, Val Acc=0.7213
Train Loss=1.1034, Train Acc=0.7472 | Val Loss=1.3353, Val Acc=0.6230
Train Loss=1.1000, Train Acc=0.7583 | Val Loss=1.2048, Val Acc=0.6721
Train Loss=1.0594, Train Acc=0.7517 | Val Loss=1.1774, Val Acc=0.7049
Train Loss=1.0622, Train Acc=0.7406 | Val Loss=1.1383, Val Acc=0.7377
Train Loss=1.0051, Train Acc=0.8049 | Val Loss=1.1525, Val Acc=0.7541
Train Loss=0.9604, Train Acc=0.7982 | Val Loss=1.1189, Val Acc=0.7377
Train Loss=0.9529, Train Acc=0.8381 | Val Loss=1.0591, Val Acc=0.7049
Train Loss=0.8709, Train Acc=0.8359 | Val Loss=1.0702, Val Acc=0.7869
Train Loss=0.8349, Train Acc=0.8581 | Val Loss=1.0565, Val Acc=0.7869
Train Loss=0.8909, Train Acc=0.8137 | Val Loss=1.0250, Val Acc=0.7869
Train Loss=0.8456, Train Acc=0.8426 | Val Loss=0.9905, Val Acc=0.7705
Train Loss=0.7938, Train Acc=0.8559 | Val Loss=0.9942, Val Acc=0.7705
Train Loss=0.7190, Train Acc=0.8980 | Val Loss=0.9133, Val Acc=0.7869
Train Loss=0.7035, Train Acc=0.8980 | Val Loss=0.9428, Val Acc=0.8197
Train Loss=0.6532, Train Acc=0.9157 | Val Loss=0.9445, Val Acc=0.7869
Train Loss=0.6018, Train Acc=0.9224 | Val Loss=0.9794, Val Acc=0.7705
Train Loss=0.6189, Train Acc=0.9135 | Val Loss=0.9905, Val Acc=0.7377
Train Loss=0.7086, Train Acc=0.8692 | Val Loss=1.1627, Val Acc=0.6721
Train Loss=0.7200, Train Acc=0.8559 | Val Loss=0.9708, Val Acc=0.8197
Train Loss=0.6252, Train Acc=0.9224 | Val Loss=0.9604, Val Acc=0.8033
Train Loss=0.5972, Train Acc=0.9180 | Val Loss=0.8902, Val Acc=0.8361
Train Loss=0.5374, Train Acc=0.9490 | Val Loss=0.8409, Val Acc=0.8197
Train Loss=0.4945, Train Acc=0.9623 | Val Loss=0.9095, Val Acc=0.8361
Train Loss=0.5347, Train Acc=0.9379 | Val Loss=0.8800, Val Acc=0.8033
Train Loss=0.5561, Train Acc=0.9379 | Val Loss=0.9530, Val Acc=0.8033
Train Loss=0.4753, Train Acc=0.9623 | Val Loss=0.9178, Val Acc=0.8033
Train Loss=0.4597, Train Acc=0.9734 | Val Loss=0.9087, Val Acc=0.7869
Train Loss=0.4845, Train Acc=0.9557 | Val Loss=0.8796, Val Acc=0.8361
Train Loss=0.5221, Train Acc=0.9534 | Val Loss=1.0744, Val Acc=0.7705
Train Loss=0.5228, Train Acc=0.9645 | Val Loss=0.9685, Val Acc=0.7541
Train Loss=0.4610, Train Acc=0.9756 | Val Loss=0.8892, Val Acc=0.8197
Train Loss=0.4295, Train Acc=0.9756 | Val Loss=1.0076, Val Acc=0.8033
Train Loss=0.4839, Train Acc=0.9645 | Val Loss=0.8852, Val Acc=0.7377
Train Loss=0.4542, Train Acc=0.9712 | Val Loss=0.9466, Val Acc=0.8361
Train Loss=0.3866, Train Acc=0.9933 | Val Loss=0.8294, Val Acc=0.8033
Train Loss=0.3655, Train Acc=0.9911 | Val Loss=0.8090, Val Acc=0.8525
Train Loss=0.3928, Train Acc=0.9845 | Val Loss=0.8718, Val Acc=0.7869
Train Loss=0.3687, Train Acc=0.9933 | Val Loss=0.8239, Val Acc=0.8197
Train Loss=0.3462, Train Acc=0.9978 | Val Loss=0.7911, Val Acc=0.8361
Train Loss=0.4015, Train Acc=0.9823 | Val Loss=0.9597, Val Acc=0.7705
Train Loss=0.3909, Train Acc=0.9867 | Val Loss=0.8485, Val Acc=0.8525
Train Loss=0.3472, Train Acc=0.9911 | Val Loss=0.8391, Val Acc=0.8197
Train Loss=0.3380, Train Acc=0.9978 | Val Loss=0.9221, Val Acc=0.8033
Train Loss=0.3416, Train Acc=0.9956 | Val Loss=0.7820, Val Acc=0.8197
Train Loss=0.3092, Train Acc=1.0000 | Val Loss=1.0115, Val Acc=0.8033
Train Loss=0.3985, Train Acc=0.9667 | Val Loss=1.2305, Val Acc=0.6885
Train Loss=0.3912, Train Acc=0.9800 | Val Loss=0.8193, Val Acc=0.8033
Train Loss=0.3510, Train Acc=0.9911 | Val Loss=0.8958, Val Acc=0.7705
Train Loss=0.4521, Train Acc=0.9446 | Val Loss=0.8735, Val Acc=0.8033
Train Loss=0.4419, Train Acc=0.9712 | Val Loss=0.8693, Val Acc=0.7541
Train Loss=0.3708, Train Acc=0.9867 | Val Loss=0.8236, Val Acc=0.7869
Train Loss=0.3350, Train Acc=0.9956 | Val Loss=0.8610, Val Acc=0.8361
Train Loss=0.3440, Train Acc=0.9978 | Val Loss=0.9164, Val Acc=0.7869
