Train Loss=1.9854, Train Acc=0.3215 | Val Loss=1.9893, Val Acc=0.2459
Train Loss=1.7234, Train Acc=0.4169 | Val Loss=1.7718, Val Acc=0.3279
Train Loss=1.5354, Train Acc=0.5100 | Val Loss=1.4645, Val Acc=0.5082
Train Loss=1.3918, Train Acc=0.5654 | Val Loss=1.3669, Val Acc=0.5574
Train Loss=1.2539, Train Acc=0.6319 | Val Loss=1.2666, Val Acc=0.5246
Train Loss=1.1748, Train Acc=0.6408 | Val Loss=1.2709, Val Acc=0.5738
Train Loss=1.0446, Train Acc=0.7539 | Val Loss=1.0811, Val Acc=0.6721
Train Loss=1.0127, Train Acc=0.6984 | Val Loss=1.1232, Val Acc=0.7049
Train Loss=0.9820, Train Acc=0.7361 | Val Loss=1.1161, Val Acc=0.6885
Train Loss=0.9835, Train Acc=0.7095 | Val Loss=1.0249, Val Acc=0.6721
Train Loss=0.8637, Train Acc=0.7960 | Val Loss=1.0071, Val Acc=0.7049
Train Loss=0.8089, Train Acc=0.8226 | Val Loss=0.9454, Val Acc=0.7541
Train Loss=0.8596, Train Acc=0.7627 | Val Loss=0.9909, Val Acc=0.6885
Train Loss=0.7909, Train Acc=0.8004 | Val Loss=1.1047, Val Acc=0.6721
Train Loss=0.7518, Train Acc=0.8404 | Val Loss=0.9492, Val Acc=0.7213
Train Loss=0.9357, Train Acc=0.7339 | Val Loss=1.0221, Val Acc=0.7049
Train Loss=0.8179, Train Acc=0.8049 | Val Loss=0.9739, Val Acc=0.6721
Train Loss=0.7330, Train Acc=0.8160 | Val Loss=1.0462, Val Acc=0.6557
Train Loss=0.7118, Train Acc=0.8248 | Val Loss=0.9551, Val Acc=0.7213
Train Loss=0.6360, Train Acc=0.8736 | Val Loss=0.8720, Val Acc=0.7541
Train Loss=0.5799, Train Acc=0.8869 | Val Loss=0.8593, Val Acc=0.7869
Train Loss=0.5386, Train Acc=0.8980 | Val Loss=0.8158, Val Acc=0.7705
Train Loss=0.5034, Train Acc=0.9157 | Val Loss=0.7730, Val Acc=0.8197
Train Loss=0.4511, Train Acc=0.9379 | Val Loss=0.7798, Val Acc=0.7541
Train Loss=0.4424, Train Acc=0.9335 | Val Loss=0.7669, Val Acc=0.7705
Train Loss=0.4275, Train Acc=0.9490 | Val Loss=0.8234, Val Acc=0.7213
Train Loss=0.5045, Train Acc=0.8825 | Val Loss=0.8603, Val Acc=0.7869
