Train Loss=1.7101, Train Acc=0.3957 | Val Loss=1.9128, Val Acc=0.3392
Train Loss=1.5827, Train Acc=0.4562 | Val Loss=1.8369, Val Acc=0.4035
Train Loss=1.4833, Train Acc=0.4922 | Val Loss=1.7977, Val Acc=0.4401
Train Loss=1.3893, Train Acc=0.5313 | Val Loss=1.7463, Val Acc=0.4341
Train Loss=1.3367, Train Acc=0.5536 | Val Loss=1.7419, Val Acc=0.4510
Train Loss=1.2841, Train Acc=0.5722 | Val Loss=1.6330, Val Acc=0.5215
Train Loss=1.2372, Train Acc=0.5950 | Val Loss=1.6204, Val Acc=0.5198
Train Loss=1.1999, Train Acc=0.6080 | Val Loss=1.5108, Val Acc=0.5606
Train Loss=1.1396, Train Acc=0.6287 | Val Loss=1.6242, Val Acc=0.5438
Train Loss=1.1004, Train Acc=0.6438 | Val Loss=1.5238, Val Acc=0.5663
Train Loss=1.0363, Train Acc=0.6693 | Val Loss=1.4948, Val Acc=0.5787
Train Loss=1.0014, Train Acc=0.6856 | Val Loss=1.4620, Val Acc=0.5827
Train Loss=0.9542, Train Acc=0.6989 | Val Loss=1.3604, Val Acc=0.6216
Train Loss=0.8906, Train Acc=0.7286 | Val Loss=1.4050, Val Acc=0.6357
Train Loss=0.8390, Train Acc=0.7475 | Val Loss=1.2670, Val Acc=0.6741
Train Loss=0.7985, Train Acc=0.7561 | Val Loss=1.3150, Val Acc=0.6554
Train Loss=0.7574, Train Acc=0.7814 | Val Loss=1.5554, Val Acc=0.5701
Train Loss=0.7152, Train Acc=0.7927 | Val Loss=1.2377, Val Acc=0.6843
Train Loss=0.6319, Train Acc=0.8218 | Val Loss=1.3889, Val Acc=0.6646
Train Loss=0.5854, Train Acc=0.8425 | Val Loss=1.1679, Val Acc=0.7187
Train Loss=0.5156, Train Acc=0.8709 | Val Loss=1.2552, Val Acc=0.6717
Train Loss=0.4819, Train Acc=0.8795 | Val Loss=1.0989, Val Acc=0.7553
Train Loss=0.4347, Train Acc=0.9028 | Val Loss=1.0300, Val Acc=0.7952
Train Loss=0.3949, Train Acc=0.9160 | Val Loss=1.1361, Val Acc=0.7743
Train Loss=0.3720, Train Acc=0.9222 | Val Loss=0.9531, Val Acc=0.8220
Train Loss=0.3396, Train Acc=0.9344 | Val Loss=1.0438, Val Acc=0.7750
Train Loss=0.2810, Train Acc=0.9597 | Val Loss=0.9488, Val Acc=0.8412
Train Loss=0.2657, Train Acc=0.9549 | Val Loss=0.9167, Val Acc=0.8564
