Train Loss=1.7704, Train Acc=0.3750 | Val Loss=1.8357, Val Acc=0.4009
Train Loss=1.5951, Train Acc=0.4578 | Val Loss=1.7568, Val Acc=0.4550
Train Loss=1.5147, Train Acc=0.4884 | Val Loss=1.6937, Val Acc=0.4913
Train Loss=1.4585, Train Acc=0.5168 | Val Loss=1.6477, Val Acc=0.5139
Train Loss=1.3952, Train Acc=0.5382 | Val Loss=1.6041, Val Acc=0.5236
Train Loss=1.3569, Train Acc=0.5574 | Val Loss=1.5638, Val Acc=0.5414
Train Loss=1.3161, Train Acc=0.5750 | Val Loss=1.5484, Val Acc=0.5523
Train Loss=1.2707, Train Acc=0.5919 | Val Loss=1.5458, Val Acc=0.5414
Train Loss=1.2409, Train Acc=0.6068 | Val Loss=1.4882, Val Acc=0.5737
Train Loss=1.1992, Train Acc=0.6211 | Val Loss=1.4319, Val Acc=0.5955
Train Loss=1.1725, Train Acc=0.6410 | Val Loss=1.4201, Val Acc=0.6055
Train Loss=1.1328, Train Acc=0.6642 | Val Loss=1.3826, Val Acc=0.6174
Train Loss=1.0993, Train Acc=0.6676 | Val Loss=1.3388, Val Acc=0.6461
Train Loss=1.0778, Train Acc=0.6768 | Val Loss=1.3003, Val Acc=0.6694
Train Loss=1.0235, Train Acc=0.7003 | Val Loss=1.2798, Val Acc=0.6672
Train Loss=1.0112, Train Acc=0.7085 | Val Loss=1.2562, Val Acc=0.6781
Train Loss=0.9618, Train Acc=0.7311 | Val Loss=1.2700, Val Acc=0.6603
Train Loss=0.9161, Train Acc=0.7435 | Val Loss=1.2177, Val Acc=0.6978
Train Loss=0.9032, Train Acc=0.7525 | Val Loss=1.1642, Val Acc=0.7149
Train Loss=0.8583, Train Acc=0.7743 | Val Loss=1.1981, Val Acc=0.7047
Train Loss=0.8178, Train Acc=0.7873 | Val Loss=1.1154, Val Acc=0.7401
Train Loss=0.7868, Train Acc=0.7960 | Val Loss=1.1328, Val Acc=0.7204
Train Loss=0.7528, Train Acc=0.8123 | Val Loss=1.1481, Val Acc=0.7109
Train Loss=0.7039, Train Acc=0.8322 | Val Loss=1.0513, Val Acc=0.7705
Train Loss=0.6828, Train Acc=0.8461 | Val Loss=1.0999, Val Acc=0.7261
Train Loss=0.6699, Train Acc=0.8463 | Val Loss=1.0528, Val Acc=0.7572
Train Loss=0.6335, Train Acc=0.8680 | Val Loss=1.0056, Val Acc=0.7814
Train Loss=0.5955, Train Acc=0.8736 | Val Loss=0.9689, Val Acc=0.8004
Train Loss=0.5655, Train Acc=0.8930 | Val Loss=0.9855, Val Acc=0.7842
Train Loss=0.5262, Train Acc=0.9018 | Val Loss=0.9210, Val Acc=0.8182
Train Loss=0.5095, Train Acc=0.9190 | Val Loss=0.8800, Val Acc=0.8336
Train Loss=0.4955, Train Acc=0.9151 | Val Loss=0.9398, Val Acc=0.8042
Train Loss=0.4738, Train Acc=0.9237 | Val Loss=0.8993, Val Acc=0.8279
Train Loss=0.4517, Train Acc=0.9375 | Val Loss=0.9169, Val Acc=0.8106
Train Loss=0.4117, Train Acc=0.9449 | Val Loss=0.8352, Val Acc=0.8512
Train Loss=0.4014, Train Acc=0.9489 | Val Loss=0.8619, Val Acc=0.8367
Train Loss=0.3682, Train Acc=0.9647 | Val Loss=0.8594, Val Acc=0.8350
Train Loss=0.3545, Train Acc=0.9628 | Val Loss=0.7941, Val Acc=0.8654
Train Loss=0.3709, Train Acc=0.9563 | Val Loss=0.8308, Val Acc=0.8526
Train Loss=0.3446, Train Acc=0.9699 | Val Loss=0.7909, Val Acc=0.8664
Train Loss=0.3351, Train Acc=0.9704 | Val Loss=0.7851, Val Acc=0.8678
Train Loss=0.3473, Train Acc=0.9649 | Val Loss=0.7912, Val Acc=0.8628
Train Loss=0.3096, Train Acc=0.9811 | Val Loss=0.8136, Val Acc=0.8619
Train Loss=0.3001, Train Acc=0.9815 | Val Loss=0.7803, Val Acc=0.8657
Train Loss=0.2850, Train Acc=0.9843 | Val Loss=0.7587, Val Acc=0.8778
Train Loss=0.2794, Train Acc=0.9863 | Val Loss=0.7654, Val Acc=0.8732
Train Loss=0.2709, Train Acc=0.9866 | Val Loss=0.7546, Val Acc=0.8730
Train Loss=0.2718, Train Acc=0.9870 | Val Loss=0.7830, Val Acc=0.8690
Train Loss=0.2657, Train Acc=0.9894 | Val Loss=0.7463, Val Acc=0.8787
Train Loss=0.2565, Train Acc=0.9909 | Val Loss=0.7607, Val Acc=0.8775
Train Loss=0.3185, Train Acc=0.9643 | Val Loss=0.7900, Val Acc=0.8664
Train Loss=0.2524, Train Acc=0.9921 | Val Loss=0.7605, Val Acc=0.8770
Train Loss=0.2604, Train Acc=0.9891 | Val Loss=0.7529, Val Acc=0.8804
Train Loss=0.2398, Train Acc=0.9941 | Val Loss=0.7548, Val Acc=0.8775
Train Loss=0.2255, Train Acc=0.9953 | Val Loss=0.7367, Val Acc=0.8823
Train Loss=0.2196, Train Acc=0.9970 | Val Loss=0.7530, Val Acc=0.8770
Train Loss=0.2311, Train Acc=0.9938 | Val Loss=0.7679, Val Acc=0.8775
Train Loss=0.2750, Train Acc=0.9759 | Val Loss=0.7351, Val Acc=0.8896
Train Loss=0.2329, Train Acc=0.9938 | Val Loss=0.7439, Val Acc=0.8818
Train Loss=0.2273, Train Acc=0.9934 | Val Loss=0.7470, Val Acc=0.8761
Train Loss=0.2281, Train Acc=0.9930 | Val Loss=0.7760, Val Acc=0.8673
Train Loss=0.2205, Train Acc=0.9972 | Val Loss=0.7202, Val Acc=0.8868
Train Loss=0.2142, Train Acc=0.9980 | Val Loss=0.7208, Val Acc=0.8849
Train Loss=0.2098, Train Acc=0.9977 | Val Loss=0.7715, Val Acc=0.8749
Train Loss=0.2188, Train Acc=0.9961 | Val Loss=0.7359, Val Acc=0.8756
Train Loss=0.2175, Train Acc=0.9953 | Val Loss=0.7522, Val Acc=0.8754
Train Loss=0.2384, Train Acc=0.9879 | Val Loss=0.7386, Val Acc=0.8854
Train Loss=0.2090, Train Acc=0.9984 | Val Loss=0.7275, Val Acc=0.8837
Train Loss=0.1967, Train Acc=0.9983 | Val Loss=0.7403, Val Acc=0.8792
Train Loss=0.1932, Train Acc=0.9985 | Val Loss=0.7832, Val Acc=0.8751
Train Loss=0.2128, Train Acc=0.9927 | Val Loss=0.8111, Val Acc=0.8600
Train Loss=0.1940, Train Acc=0.9949 | Val Loss=0.7462, Val Acc=0.8768
Train Loss=0.1992, Train Acc=0.9974 | Val Loss=0.7630, Val Acc=0.8770
Train Loss=0.2772, Train Acc=0.9707 | Val Loss=0.7561, Val Acc=0.8778
Train Loss=0.1951, Train Acc=0.9960 | Val Loss=0.7307, Val Acc=0.8823
Train Loss=0.1915, Train Acc=0.9991 | Val Loss=0.7143, Val Acc=0.8823
Train Loss=0.1913, Train Acc=0.9993 | Val Loss=0.7562, Val Acc=0.8756
Train Loss=0.2063, Train Acc=0.9915 | Val Loss=0.9513, Val Acc=0.8201
Train Loss=0.2736, Train Acc=0.9723 | Val Loss=0.7955, Val Acc=0.8685
Train Loss=0.2280, Train Acc=0.9888 | Val Loss=0.7896, Val Acc=0.8782
Train Loss=0.1905, Train Acc=0.9991 | Val Loss=0.7542, Val Acc=0.8818
Train Loss=0.1906, Train Acc=0.9985 | Val Loss=0.7692, Val Acc=0.8766
Train Loss=0.1839, Train Acc=0.9987 | Val Loss=0.7303, Val Acc=0.8906

Train Loss=0.1831, Train Acc=0.9993 | Val Loss=0.7358, Val Acc=0.8863
Train Loss=0.1970, Train Acc=0.9964 | Val Loss=0.8794, Val Acc=0.8260
