Train Loss=3.2973, Train Acc=0.3201 | Val Loss=4.5558, Val Acc=0.3380
Train Loss=3.0669, Train Acc=0.3768 | Val Loss=4.4166, Val Acc=0.3546
Train Loss=2.8074, Train Acc=0.4108 | Val Loss=4.2961, Val Acc=0.3928
Train Loss=2.6990, Train Acc=0.4156 | Val Loss=4.2351, Val Acc=0.3981
Train Loss=2.6872, Train Acc=0.4332 | Val Loss=4.1433, Val Acc=0.4109
Train Loss=2.5527, Train Acc=0.4409 | Val Loss=4.0564, Val Acc=0.4180
Train Loss=2.4839, Train Acc=0.4464 | Val Loss=4.0199, Val Acc=0.4299
Train Loss=2.4552, Train Acc=0.4589 | Val Loss=3.9781, Val Acc=0.4246
Train Loss=2.4626, Train Acc=0.4676 | Val Loss=3.9851, Val Acc=0.4249
Train Loss=2.4030, Train Acc=0.4777 | Val Loss=3.9375, Val Acc=0.4401
Train Loss=2.4013, Train Acc=0.4884 | Val Loss=3.9377, Val Acc=0.4553
Train Loss=2.3582, Train Acc=0.5003 | Val Loss=3.8959, Val Acc=0.4510
Train Loss=2.3068, Train Acc=0.5034 | Val Loss=3.8711, Val Acc=0.4581
Train Loss=2.2871, Train Acc=0.5161 | Val Loss=3.8481, Val Acc=0.4633
Train Loss=2.2469, Train Acc=0.5239 | Val Loss=3.8106, Val Acc=0.4690
Train Loss=2.2831, Train Acc=0.5254 | Val Loss=3.7697, Val Acc=0.4735
Train Loss=2.1273, Train Acc=0.5353 | Val Loss=3.7924, Val Acc=0.4849
Train Loss=2.1992, Train Acc=0.5450 | Val Loss=3.7608, Val Acc=0.4764
Train Loss=2.1364, Train Acc=0.5445 | Val Loss=3.7058, Val Acc=0.5013
Train Loss=2.1387, Train Acc=0.5597 | Val Loss=3.7224, Val Acc=0.5056
Train Loss=2.0314, Train Acc=0.5719 | Val Loss=3.6931, Val Acc=0.5099
Train Loss=2.0500, Train Acc=0.5833 | Val Loss=3.6487, Val Acc=0.5189
Train Loss=2.0396, Train Acc=0.5877 | Val Loss=3.6256, Val Acc=0.5369
Train Loss=1.9974, Train Acc=0.5939 | Val Loss=3.6146, Val Acc=0.5352
Train Loss=1.9523, Train Acc=0.6062 | Val Loss=3.5811, Val Acc=0.5466
Train Loss=1.9762, Train Acc=0.6164 | Val Loss=3.5904, Val Acc=0.5583
Train Loss=1.9296, Train Acc=0.6180 | Val Loss=3.5357, Val Acc=0.5552
Train Loss=1.8746, Train Acc=0.6337 | Val Loss=3.5330, Val Acc=0.5768
Train Loss=1.9220, Train Acc=0.6330 | Val Loss=3.4886, Val Acc=0.5682
Train Loss=1.8961, Train Acc=0.6428 | Val Loss=3.4997, Val Acc=0.5784
Train Loss=1.8536, Train Acc=0.6540 | Val Loss=3.5240, Val Acc=0.5808
Train Loss=1.7984, Train Acc=0.6563 | Val Loss=3.4160, Val Acc=0.5979
Train Loss=1.7958, Train Acc=0.6721 | Val Loss=3.4258, Val Acc=0.5962
Train Loss=1.7996, Train Acc=0.6770 | Val Loss=3.4065, Val Acc=0.6031
Train Loss=1.7704, Train Acc=0.6849 | Val Loss=3.4158, Val Acc=0.6114
Train Loss=1.7570, Train Acc=0.6952 | Val Loss=3.3908, Val Acc=0.6233
Train Loss=1.7190, Train Acc=0.7010 | Val Loss=3.3275, Val Acc=0.6368
