Train Loss=1.6739, Train Acc=0.4055 | Val Loss=1.7505, Val Acc=0.4626
Train Loss=1.5337, Train Acc=0.4747 | Val Loss=1.8605, Val Acc=0.4049
Train Loss=1.4499, Train Acc=0.5231 | Val Loss=1.7998, Val Acc=0.4083
Train Loss=1.3851, Train Acc=0.5442 | Val Loss=1.5614, Val Acc=0.5426
Train Loss=1.3321, Train Acc=0.5712 | Val Loss=1.5436, Val Acc=0.5407
Train Loss=1.2842, Train Acc=0.5953 | Val Loss=1.5088, Val Acc=0.5549
Train Loss=1.2266, Train Acc=0.6139 | Val Loss=1.4276, Val Acc=0.6022
Train Loss=1.1718, Train Acc=0.6381 | Val Loss=1.5117, Val Acc=0.5490
Train Loss=1.1106, Train Acc=0.6612 | Val Loss=1.4482, Val Acc=0.5889
Train Loss=1.0679, Train Acc=0.6793 | Val Loss=1.4199, Val Acc=0.5913
Train Loss=1.0306, Train Acc=0.6901 | Val Loss=1.3011, Val Acc=0.6435
Train Loss=0.9487, Train Acc=0.7237 | Val Loss=1.2512, Val Acc=0.6675
Train Loss=0.8759, Train Acc=0.7479 | Val Loss=1.1761, Val Acc=0.6914
Train Loss=0.8231, Train Acc=0.7768 | Val Loss=1.2034, Val Acc=0.6812
Train Loss=0.7505, Train Acc=0.8049 | Val Loss=1.1379, Val Acc=0.7028
Train Loss=0.7005, Train Acc=0.8236 | Val Loss=1.1508, Val Acc=0.7168
Train Loss=0.6181, Train Acc=0.8553 | Val Loss=1.0637, Val Acc=0.7572
Train Loss=0.5610, Train Acc=0.8783 | Val Loss=1.1236, Val Acc=0.7149
Train Loss=0.5019, Train Acc=0.9085 | Val Loss=1.0926, Val Acc=0.7304
Train Loss=0.4519, Train Acc=0.9226 | Val Loss=0.8757, Val Acc=0.8239
Train Loss=0.3855, Train Acc=0.9428 | Val Loss=0.9947, Val Acc=0.7909
Train Loss=0.3461, Train Acc=0.9616 | Val Loss=0.8620, Val Acc=0.8445
Train Loss=0.3460, Train Acc=0.9567 | Val Loss=1.1013, Val Acc=0.7479
Train Loss=0.3024, Train Acc=0.9745 | Val Loss=0.7880, Val Acc=0.8495
Train Loss=0.3081, Train Acc=0.9637 | Val Loss=0.8816, Val Acc=0.8267
Train Loss=0.2603, Train Acc=0.9851 | Val Loss=0.7860, Val Acc=0.8600
Train Loss=0.2345, Train Acc=0.9899 | Val Loss=0.8163, Val Acc=0.8697
Train Loss=0.2181, Train Acc=0.9941 | Val Loss=0.9287, Val Acc=0.8251
Train Loss=0.2410, Train Acc=0.9870 | Val Loss=0.7762, Val Acc=0.8711
Train Loss=0.2896, Train Acc=0.9729 | Val Loss=1.2268, Val Acc=0.7527
Train Loss=0.2927, Train Acc=0.9704 | Val Loss=0.7787, Val Acc=0.8740
Train Loss=0.2126, Train Acc=0.9966 | Val Loss=0.8360, Val Acc=0.8645
Train Loss=0.2225, Train Acc=0.9893 | Val Loss=0.7740, Val Acc=0.8619
Train Loss=0.2343, Train Acc=0.9898 | Val Loss=0.8760, Val Acc=0.8668
Train Loss=0.2116, Train Acc=0.9936 | Val Loss=1.0413, Val Acc=0.8130
Train Loss=0.2246, Train Acc=0.9931 | Val Loss=0.9520, Val Acc=0.8265
Train Loss=0.2205, Train Acc=0.9907 | Val Loss=0.8324, Val Acc=0.8438
Train Loss=0.2794, Train Acc=0.9711 | Val Loss=0.7933, Val Acc=0.8609
Train Loss=0.1992, Train Acc=0.9976 | Val Loss=0.7676, Val Acc=0.8825
Train Loss=0.1899, Train Acc=0.9973 | Val Loss=0.7090, Val Acc=0.8875

Train Loss=0.1936, Train Acc=0.9972 | Val Loss=0.8023, Val Acc=0.8723
Train Loss=0.1928, Train Acc=0.9970 | Val Loss=0.7718, Val Acc=0.8773
Train Loss=0.2314, Train Acc=0.9797 | Val Loss=1.2337, Val Acc=0.7237
Train Loss=0.2625, Train Acc=0.9734 | Val Loss=1.4479, Val Acc=0.6786
Train Loss=0.2137, Train Acc=0.9902 | Val Loss=0.7732, Val Acc=0.8808
Train Loss=0.1824, Train Acc=0.9988 | Val Loss=0.7543, Val Acc=0.8844
Train Loss=0.1762, Train Acc=0.9991 | Val Loss=0.7646, Val Acc=0.8837
Train Loss=0.1725, Train Acc=0.9979 | Val Loss=0.7818, Val Acc=0.8877
Train Loss=0.1735, Train Acc=0.9968 | Val Loss=0.8192, Val Acc=0.8732
Train Loss=0.1933, Train Acc=0.9953 | Val Loss=0.9710, Val Acc=0.8122
Train Loss=0.2549, Train Acc=0.9711 | Val Loss=0.8808, Val Acc=0.8502
Train Loss=0.2324, Train Acc=0.9819 | Val Loss=1.0404, Val Acc=0.8077
Train Loss=0.2102, Train Acc=0.9880 | Val Loss=0.7040, Val Acc=0.8846
Train Loss=0.1760, Train Acc=0.9929 | Val Loss=0.7894, Val Acc=0.8799
Train Loss=0.1832, Train Acc=0.9950 | Val Loss=0.8260, Val Acc=0.8718
Train Loss=0.1788, Train Acc=0.9980 | Val Loss=0.7888, Val Acc=0.8780
Train Loss=0.1663, Train Acc=0.9989 | Val Loss=0.7928, Val Acc=0.8737
Train Loss=0.1755, Train Acc=0.9956 | Val Loss=0.8430, Val Acc=0.8557
Train Loss=0.1643, Train Acc=0.9989 | Val Loss=0.8400, Val Acc=0.8704
Train Loss=0.1532, Train Acc=0.9996 | Val Loss=0.7853, Val Acc=0.8792
Train Loss=0.1492, Train Acc=0.9989 | Val Loss=0.8578, Val Acc=0.8721
Train Loss=0.1510, Train Acc=0.9993 | Val Loss=0.8806, Val Acc=0.8654
Train Loss=0.2064, Train Acc=0.9829 | Val Loss=0.8996, Val Acc=0.8374
Train Loss=0.2865, Train Acc=0.9594 | Val Loss=0.7826, Val Acc=0.8813
Train Loss=0.2025, Train Acc=0.9874 | Val Loss=0.9614, Val Acc=0.8187
Train Loss=0.1808, Train Acc=0.9946 | Val Loss=0.7375, Val Acc=0.8873
Train Loss=0.1772, Train Acc=0.9942 | Val Loss=0.8510, Val Acc=0.8799
Train Loss=0.1607, Train Acc=0.9974 | Val Loss=0.8557, Val Acc=0.8785
Train Loss=0.1613, Train Acc=0.9980 | Val Loss=0.8860, Val Acc=0.8714
Train Loss=0.1603, Train Acc=0.9977 | Val Loss=0.7943, Val Acc=0.8832
Train Loss=0.1601, Train Acc=0.9974 | Val Loss=0.8046, Val Acc=0.8842
Train Loss=0.1503, Train Acc=0.9991 | Val Loss=0.8634, Val Acc=0.8813
Train Loss=0.1455, Train Acc=0.9995 | Val Loss=0.8263, Val Acc=0.8775
Train Loss=0.1652, Train Acc=0.9948 | Val Loss=1.1289, Val Acc=0.8196
Train Loss=0.2388, Train Acc=0.9678 | Val Loss=0.9297, Val Acc=0.8196
Train Loss=0.2037, Train Acc=0.9851 | Val Loss=0.7978, Val Acc=0.8813
Train Loss=0.1631, Train Acc=0.9966 | Val Loss=0.9219, Val Acc=0.8592
Train Loss=0.1497, Train Acc=0.9974 | Val Loss=0.7320, Val Acc=0.8868
Train Loss=0.1448, Train Acc=0.9992 | Val Loss=0.7434, Val Acc=0.8813
Train Loss=0.1446, Train Acc=0.9989 | Val Loss=0.9055, Val Acc=0.8718
Train Loss=0.1510, Train Acc=0.9992 | Val Loss=0.8358, Val Acc=0.8747
Train Loss=0.1463, Train Acc=0.9992 | Val Loss=0.8094, Val Acc=0.8735
Train Loss=0.1956, Train Acc=0.9829 | Val Loss=0.8724, Val Acc=0.8626
Train Loss=0.2023, Train Acc=0.9831 | Val Loss=0.8004, Val Acc=0.8723
Train Loss=0.1744, Train Acc=0.9922 | Val Loss=0.8947, Val Acc=0.8642
