Train Loss=3.2581, Train Acc=0.3807 | Val Loss=4.5144, Val Acc=0.4094
Train Loss=3.1723, Train Acc=0.4363 | Val Loss=4.5087, Val Acc=0.4154
Train Loss=3.0219, Train Acc=0.4661 | Val Loss=4.6311, Val Acc=0.3729
Train Loss=2.9425, Train Acc=0.4749 | Val Loss=4.6293, Val Acc=0.3931
Train Loss=2.7897, Train Acc=0.4809 | Val Loss=4.2762, Val Acc=0.4396
Train Loss=2.7326, Train Acc=0.4929 | Val Loss=4.2611, Val Acc=0.4348
Train Loss=2.5827, Train Acc=0.5175 | Val Loss=4.1477, Val Acc=0.4631
Train Loss=2.5241, Train Acc=0.5251 | Val Loss=4.1381, Val Acc=0.4593
Train Loss=2.4353, Train Acc=0.5410 | Val Loss=4.0173, Val Acc=0.4697
Train Loss=2.4654, Train Acc=0.5470 | Val Loss=4.1441, Val Acc=0.4415
Train Loss=2.3895, Train Acc=0.5568 | Val Loss=4.0189, Val Acc=0.4939
Train Loss=2.2892, Train Acc=0.5712 | Val Loss=3.9544, Val Acc=0.4897
Train Loss=2.3833, Train Acc=0.5767 | Val Loss=3.8264, Val Acc=0.5208
Train Loss=2.2090, Train Acc=0.5972 | Val Loss=3.8405, Val Acc=0.5077
Train Loss=2.1073, Train Acc=0.6035 | Val Loss=3.6899, Val Acc=0.5462
Train Loss=2.0797, Train Acc=0.6098 | Val Loss=3.7054, Val Acc=0.5474
Train Loss=2.0193, Train Acc=0.6277 | Val Loss=3.7028, Val Acc=0.5573
Train Loss=1.9989, Train Acc=0.6396 | Val Loss=3.6544, Val Acc=0.5796
Train Loss=1.9416, Train Acc=0.6564 | Val Loss=3.7500, Val Acc=0.5694
Train Loss=1.8715, Train Acc=0.6693 | Val Loss=3.7363, Val Acc=0.5661
Train Loss=1.8975, Train Acc=0.6752 | Val Loss=3.6078, Val Acc=0.6136
Train Loss=1.8139, Train Acc=0.6998 | Val Loss=3.4448, Val Acc=0.6307
Train Loss=1.8047, Train Acc=0.7092 | Val Loss=3.4527, Val Acc=0.6326
Train Loss=1.7648, Train Acc=0.7231 | Val Loss=3.4036, Val Acc=0.6537
Train Loss=1.7131, Train Acc=0.7357 | Val Loss=3.4317, Val Acc=0.6492
Train Loss=1.7160, Train Acc=0.7436 | Val Loss=3.4291, Val Acc=0.6561
Train Loss=1.5960, Train Acc=0.7732 | Val Loss=3.3319, Val Acc=0.7005
Train Loss=1.5496, Train Acc=0.7877 | Val Loss=3.3695, Val Acc=0.7038
Train Loss=1.5260, Train Acc=0.7958 | Val Loss=3.2553, Val Acc=0.7218
Train Loss=1.4776, Train Acc=0.8074 | Val Loss=3.2894, Val Acc=0.7047
Train Loss=1.4748, Train Acc=0.8222 | Val Loss=3.2556, Val Acc=0.7394
Train Loss=1.2913, Train Acc=0.8455 | Val Loss=3.2498, Val Acc=0.7159
Train Loss=1.4373, Train Acc=0.8496 | Val Loss=3.2310, Val Acc=0.7458
Train Loss=1.3335, Train Acc=0.8623 | Val Loss=3.2112, Val Acc=0.7574
Train Loss=1.2889, Train Acc=0.8818 | Val Loss=3.1641, Val Acc=0.7726
Train Loss=1.2370, Train Acc=0.8977 | Val Loss=3.1997, Val Acc=0.7531
Train Loss=1.2811, Train Acc=0.9127 | Val Loss=3.0570, Val Acc=0.8013
Train Loss=1.1919, Train Acc=0.9231 | Val Loss=3.1080, Val Acc=0.8073
Train Loss=1.1378, Train Acc=0.9344 | Val Loss=3.0922, Val Acc=0.8151
Train Loss=1.1689, Train Acc=0.9391 | Val Loss=3.0809, Val Acc=0.8236
Train Loss=1.0698, Train Acc=0.9442 | Val Loss=3.0325, Val Acc=0.8108
Train Loss=1.0713, Train Acc=0.9487 | Val Loss=3.1295, Val Acc=0.8244
Train Loss=1.0832, Train Acc=0.9676 | Val Loss=3.2391, Val Acc=0.8075
Train Loss=1.0295, Train Acc=0.9649 | Val Loss=3.0134, Val Acc=0.8467
Train Loss=0.9564, Train Acc=0.9780 | Val Loss=2.9844, Val Acc=0.8460
Train Loss=1.0601, Train Acc=0.9684 | Val Loss=3.0538, Val Acc=0.8379
Train Loss=0.9869, Train Acc=0.9714 | Val Loss=3.0117, Val Acc=0.8315
Train Loss=0.9951, Train Acc=0.9788 | Val Loss=3.0992, Val Acc=0.8376
Train Loss=0.9633, Train Acc=0.9829 | Val Loss=2.9590, Val Acc=0.8552
Train Loss=0.9427, Train Acc=0.9819 | Val Loss=3.1153, Val Acc=0.8213
Train Loss=0.9437, Train Acc=0.9832 | Val Loss=3.0905, Val Acc=0.8115
Train Loss=0.9592, Train Acc=0.9777 | Val Loss=3.0443, Val Acc=0.8319
Train Loss=0.9408, Train Acc=0.9880 | Val Loss=3.0034, Val Acc=0.8462
Train Loss=0.8830, Train Acc=0.9840 | Val Loss=3.0468, Val Acc=0.8369
Train Loss=0.8565, Train Acc=0.9898 | Val Loss=2.9576, Val Acc=0.8524
Train Loss=0.8694, Train Acc=0.9901 | Val Loss=2.9353, Val Acc=0.8476
Train Loss=0.8700, Train Acc=0.9901 | Val Loss=3.0357, Val Acc=0.8198
Train Loss=0.8308, Train Acc=0.9891 | Val Loss=3.0889, Val Acc=0.8455
Train Loss=0.9202, Train Acc=0.9824 | Val Loss=3.0904, Val Acc=0.8452
Train Loss=0.8436, Train Acc=0.9930 | Val Loss=2.9638, Val Acc=0.8455
Train Loss=0.8209, Train Acc=0.9903 | Val Loss=3.0491, Val Acc=0.8457
Train Loss=0.8355, Train Acc=0.9923 | Val Loss=2.9709, Val Acc=0.8455
Train Loss=0.8931, Train Acc=0.9808 | Val Loss=2.9401, Val Acc=0.8521
Train Loss=0.7764, Train Acc=0.9941 | Val Loss=3.0583, Val Acc=0.8331
Train Loss=0.8467, Train Acc=0.9965 | Val Loss=2.9609, Val Acc=0.8543
Train Loss=0.7857, Train Acc=0.9915 | Val Loss=3.1289, Val Acc=0.8448
Train Loss=0.7533, Train Acc=0.9914 | Val Loss=3.0285, Val Acc=0.8488
Train Loss=0.7647, Train Acc=0.9938 | Val Loss=3.0492, Val Acc=0.8462
Train Loss=0.7702, Train Acc=0.9954 | Val Loss=3.1192, Val Acc=0.8419
Train Loss=0.8052, Train Acc=0.9906 | Val Loss=3.0662, Val Acc=0.8483
Train Loss=0.8031, Train Acc=0.9913 | Val Loss=2.8254, Val Acc=0.8611
Train Loss=0.8644, Train Acc=0.9888 | Val Loss=2.9145, Val Acc=0.8483
Train Loss=0.7082, Train Acc=0.9931 | Val Loss=3.0770, Val Acc=0.8381
Train Loss=0.7511, Train Acc=0.9911 | Val Loss=3.0146, Val Acc=0.8507
Train Loss=0.7789, Train Acc=0.9954 | Val Loss=2.8892, Val Acc=0.8516
Train Loss=0.7749, Train Acc=0.9936 | Val Loss=2.8393, Val Acc=0.8531
Train Loss=0.7188, Train Acc=0.9945 | Val Loss=2.9169, Val Acc=0.8576
Train Loss=0.8408, Train Acc=0.9886 | Val Loss=2.9045, Val Acc=0.8521
Train Loss=0.7300, Train Acc=0.9954 | Val Loss=2.9777, Val Acc=0.8573
Train Loss=0.7412, Train Acc=0.9970 | Val Loss=2.9399, Val Acc=0.8578
Train Loss=0.7406, Train Acc=0.9944 | Val Loss=2.8928, Val Acc=0.8500
Train Loss=0.7285, Train Acc=0.9921 | Val Loss=2.8018, Val Acc=0.8429
Train Loss=0.7655, Train Acc=0.9851 | Val Loss=2.8920, Val Acc=0.8376
Train Loss=0.6335, Train Acc=0.9957 | Val Loss=2.7979, Val Acc=0.8521
Train Loss=0.7228, Train Acc=0.9949 | Val Loss=2.9513, Val Acc=0.8471
